id,Bug ID,Commit Files,
1,423257,org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjState.java tests/bugs175/pr423257/AspectX.java tests/bugs175/pr423257/Test.java tests/src/org/aspectj/systemtest/AllTests17.java tests/src/org/aspectj/systemtest/ajc175/Ajc175Tests.java tests/src/org/aspectj/systemtest/ajc175/AllTestsAspectJ175.java tests/src/org/aspectj/systemtest/incremental/tools/MultiProjectIncrementalTests.java weaver/src/org/aspectj/weaver/bcel/asm/StackMapAdder.java,52:tests/src/org/aspectj/systemtest/incremental/tools/MultiProjectIncrementalTests.java 129:org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjState.java 179:weaver/src/org/aspectj/weaver/bcel/asm/StackMapAdder.java 258:tests/src/org/aspectj/systemtest/AllTests17.java
2,420210,org.aspectj.matcher/src/org/aspectj/weaver/Checker.java tests/bugs174/extra_inserts/Code.java tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java,63:org.aspectj.matcher/src/org/aspectj/weaver/Checker.java 101:tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java
3,419279,org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjBuildConfig.java org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjBuildManager.java org.aspectj.matcher/src/org/aspectj/weaver/Lint.java testing/newsrc/org/aspectj/testing/CompileSpec.java tests/bugs174/pr419279/Code.java tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java,6:org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjBuildManager.java 26:org.aspectj.matcher/src/org/aspectj/weaver/Lint.java 29:org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjBuildConfig.java 40:testing/newsrc/org/aspectj/testing/CompileSpec.java 44:tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java
4,415266,loadtime/src/org/aspectj/weaver/loadtime/Aj.java,5:loadtime/src/org/aspectj/weaver/loadtime/Aj.java
5,418129,tests/bugs174/pr418129/Target.java tests/bugs174/pr418129/Target2.java tests/bugs174/pr418129/Target3.java tests/bugs174/pr418129/Target4.java tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java weaver/src/org/aspectj/weaver/bcel/BcelClassWeaver.java weaver/src/org/aspectj/weaver/bcel/BcelWorld.java weaver/src/org/aspectj/weaver/bcel/LazyMethodGen.java,21:weaver/src/org/aspectj/weaver/bcel/BcelClassWeaver.java 41:weaver/src/org/aspectj/weaver/bcel/LazyMethodGen.java 75:weaver/src/org/aspectj/weaver/bcel/BcelWorld.java 384:tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java
6,368046,loadtime/src/org/aspectj/weaver/loadtime/Aj.java loadtime/src/org/aspectj/weaver/loadtime/ClassLoaderWeavingAdaptor.java loadtime/src/org/aspectj/weaver/loadtime/Options.java tests/bugs174/pr368046/Azpect.java tests/bugs174/pr368046/Code.java tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java,2:loadtime/src/org/aspectj/weaver/loadtime/ClassLoaderWeavingAdaptor.java 6:loadtime/src/org/aspectj/weaver/loadtime/Aj.java 29:loadtime/src/org/aspectj/weaver/loadtime/Options.java 36:tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java
7,413378,tests/bugs174/pr413378/Code.java tests/src/org/aspectj/systemtest/AllTests17.java tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java tests/src/org/aspectj/systemtest/ajc174/AllTestsAspectJ174.java weaver/src/org/aspectj/weaver/bcel/BcelTypeMunger.java,3:weaver/src/org/aspectj/weaver/bcel/BcelTypeMunger.java 556:tests/src/org/aspectj/systemtest/AllTests17.java
8,407017,org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjState.java,3:org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjState.java
9,408721,org.aspectj.matcher/src/org/aspectj/weaver/ReferenceType.java,68:org.aspectj.matcher/src/org/aspectj/weaver/ReferenceType.java
10,404600,weaver/src/org/aspectj/weaver/bcel/BcelWeaver.java,7:weaver/src/org/aspectj/weaver/bcel/BcelWeaver.java
11,404594,org.aspectj.matcher/src/org/aspectj/weaver/ResolvedType.java,1:org.aspectj.matcher/src/org/aspectj/weaver/ResolvedType.java
12,318878,org.aspectj.matcher/src/org/aspectj/weaver/AjcMemberMaker.java,95:org.aspectj.matcher/src/org/aspectj/weaver/AjcMemberMaker.java
13,391384,org.aspectj.matcher/src/org/aspectj/weaver/WeaverMessages.java org.aspectj.matcher/src/org/aspectj/weaver/patterns/WildAnnotationTypePattern.java tests/bugs172/pr391384/Code.java tests/src/org/aspectj/systemtest/ajc172/Ajc172Tests.java,1:org.aspectj.matcher/src/org/aspectj/weaver/patterns/WildAnnotationTypePattern.java 11:tests/src/org/aspectj/systemtest/ajc172/Ajc172Tests.java 1463:org.aspectj.matcher/src/org/aspectj/weaver/WeaverMessages.java
14,394535,org.aspectj.matcher/src/org/aspectj/weaver/TypeVariable.java tests/bugs172/pr394535/Bug.java tests/bugs172/pr394535/Bug2.java tests/src/org/aspectj/systemtest/ajc172/Ajc172Tests.java,29:org.aspectj.matcher/src/org/aspectj/weaver/TypeVariable.java 31:tests/src/org/aspectj/systemtest/ajc172/Ajc172Tests.java
15,399590,org.aspectj.matcher/src/org/aspectj/weaver/BoundedReferenceType.java tests/bugs172/pr399590/Cage.java tests/bugs172/pr399590/Cage2.java tests/bugs172/pr399590/five/Cage.java tests/bugs172/pr399590/five/Cage2.java tests/bugs172/pr399590/four/Cage.java tests/bugs172/pr399590/four/Cage2.java tests/bugs172/pr399590/three/Cage.java tests/bugs172/pr399590/three/Cage2.java tests/bugs172/pr399590/two/Cage.java tests/bugs172/pr399590/two/Cage2.java tests/src/org/aspectj/systemtest/ajc172/Ajc172Tests.java,148:tests/src/org/aspectj/systemtest/ajc172/Ajc172Tests.java 198:org.aspectj.matcher/src/org/aspectj/weaver/BoundedReferenceType.java
16,399408,org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/compiler/lookup/EclipseSourceType.java,31:org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/compiler/lookup/EclipseSourceType.java
17,398588,tests/bugs172/pr398588/Anno.java tests/bugs172/pr398588/Anno2.java tests/bugs172/pr398588/AspectA.java tests/bugs172/pr398588/AspectB.java tests/bugs172/pr398588/AspectC.java tests/bugs172/pr398588/AspectD.java tests/bugs172/pr398588/Blah.java tests/bugs172/pr398588/Code.java tests/bugs172/pr398588/Code2.java tests/src/org/aspectj/systemtest/ajc172/Ajc172Tests.java weaver/src/org/aspectj/weaver/bcel/BcelWorld.java,2:weaver/src/org/aspectj/weaver/bcel/BcelWorld.java 140:tests/src/org/aspectj/systemtest/ajc172/Ajc172Tests.java
18,395221,org.aspectj.matcher/src/org/aspectj/weaver/patterns/AndPointcut.java,1710:org.aspectj.matcher/src/org/aspectj/weaver/patterns/AndPointcut.java
19,394234,weaver/src/org/aspectj/weaver/bcel/asm/StackMapAdder.java,91:weaver/src/org/aspectj/weaver/bcel/asm/StackMapAdder.java
20,391123,build/src/org/aspectj/internal/tools/ant/taskdefs/Checklics.java util/src/org/aspectj/util/LangUtil.java weaver/src/org/aspectj/weaver/tools/cache/AbstractIndexedFileCacheBacking.java weaver/src/org/aspectj/weaver/tools/cache/AsynchronousFileCacheBacking.java weaver/src/org/aspectj/weaver/tools/cache/DefaultFileCacheBacking.java weaver/src/org/aspectj/weaver/tools/cache/FlatFileCacheBacking.java weaver/src/org/aspectj/weaver/tools/cache/ZippedFileCacheBacking.java weaver/testsrc/org/aspectj/weaver/tools/cache/AbstractCacheBackingTestSupport.java weaver/testsrc/org/aspectj/weaver/tools/cache/AsynchronousFileCacheBackingTestSupport.java weaver/testsrc/org/aspectj/weaver/tools/cache/CacheTests.java weaver/testsrc/org/aspectj/weaver/tools/cache/DefaultCacheKeyResolverTest.java weaver/testsrc/org/aspectj/weaver/tools/cache/DefaultFileCacheBackingTest.java weaver/testsrc/org/aspectj/weaver/tools/cache/FlatFileCacheBackingTest.java weaver/testsrc/org/aspectj/weaver/tools/cache/SimpleClassCacheTest.java weaver/testsrc/org/aspectj/weaver/tools/cache/WeavedClassCacheTest.java weaver/testsrc/org/aspectj/weaver/tools/cache/ZippedFileCacheBackingTest.java,2:weaver/testsrc/org/aspectj/weaver/tools/cache/DefaultFileCacheBackingTest.java 4:weaver/src/org/aspectj/weaver/tools/cache/DefaultFileCacheBacking.java 7:weaver/testsrc/org/aspectj/weaver/tools/cache/WeavedClassCacheTest.java 16:weaver/src/org/aspectj/weaver/tools/cache/AbstractIndexedFileCacheBacking.java 25:weaver/testsrc/org/aspectj/weaver/tools/cache/SimpleClassCacheTest.java 30:weaver/testsrc/org/aspectj/weaver/tools/cache/CacheTests.java 35:util/src/org/aspectj/util/LangUtil.java 126:weaver/testsrc/org/aspectj/weaver/tools/cache/DefaultCacheKeyResolverTest.java
21,389967,loadtime/src/org/aspectj/weaver/loadtime/ClassLoaderWeavingAdaptor.java loadtime/src/org/aspectj/weaver/loadtime/WeavingURLClassLoader.java org.aspectj.matcher/src/org/aspectj/weaver/tools/GeneratedClassHandler.java util/src/org/aspectj/util/LangUtil.java weaver/src/org/aspectj/weaver/tools/WeavingAdaptor.java weaver/src/org/aspectj/weaver/tools/cache/CacheBacking.java weaver/src/org/aspectj/weaver/tools/cache/CacheStatistics.java weaver/src/org/aspectj/weaver/tools/cache/CachedClassEntry.java weaver/src/org/aspectj/weaver/tools/cache/CachedClassReference.java weaver/src/org/aspectj/weaver/tools/cache/DefaultCacheFactory.java weaver/src/org/aspectj/weaver/tools/cache/DefaultCacheKeyResolver.java weaver/src/org/aspectj/weaver/tools/cache/DefaultFileCacheBacking.java weaver/src/org/aspectj/weaver/tools/cache/GeneratedCachedClassHandler.java weaver/src/org/aspectj/weaver/tools/cache/WeavedClassCache.java weaver/testsrc/org/aspectj/weaver/tools/cache/DefaultFileCacheBackingTest.java weaver/testsrc/org/aspectj/weaver/tools/cache/WeavedClassCacheTest.java,1:weaver/src/org/aspectj/weaver/tools/WeavingAdaptor.java 3:weaver/src/org/aspectj/weaver/tools/cache/WeavedClassCache.java 6:weaver/testsrc/org/aspectj/weaver/tools/cache/WeavedClassCacheTest.java 8:loadtime/src/org/aspectj/weaver/loadtime/ClassLoaderWeavingAdaptor.java 9:weaver/src/org/aspectj/weaver/tools/cache/GeneratedCachedClassHandler.java 21:loadtime/src/org/aspectj/weaver/loadtime/WeavingURLClassLoader.java 86:weaver/src/org/aspectj/weaver/tools/cache/CachedClassEntry.java 87:weaver/src/org/aspectj/weaver/tools/cache/DefaultCacheKeyResolver.java 96:weaver/src/org/aspectj/weaver/tools/cache/CacheStatistics.java 111:weaver/src/org/aspectj/weaver/tools/cache/CacheBacking.java 132:org.aspectj.matcher/src/org/aspectj/weaver/tools/GeneratedClassHandler.java 135:weaver/src/org/aspectj/weaver/tools/cache/CachedClassReference.java 140:weaver/testsrc/org/aspectj/weaver/tools/cache/DefaultFileCacheBackingTest.java 157:weaver/src/org/aspectj/weaver/tools/cache/DefaultFileCacheBacking.java 255:weaver/src/org/aspectj/weaver/tools/cache/DefaultCacheFactory.java 349:util/src/org/aspectj/util/LangUtil.java
