id,Bug ID,Commit Files,
551,284467,data/org.eclipse.birt.data/src/org/eclipse/birt/data/engine/impl/PreparedJointDataSourceQuery.java,1:data/org.eclipse.birt.data/src/org/eclipse/birt/data/engine/impl/PreparedJointDataSourceQuery.java
552,284695,data/org.eclipse.birt.report.data.oda.jdbc/src/org/eclipse/birt/report/data/oda/jdbc/Statement.java,63:data/org.eclipse.birt.report.data.oda.jdbc/src/org/eclipse/birt/report/data/oda/jdbc/Statement.java
553,284694,core/org.eclipse.birt.core/src/org/eclipse/birt/core/data/DataTypeUtil.java,1:core/org.eclipse.birt.core/src/org/eclipse/birt/core/data/DataTypeUtil.java
554,280212,xtab/org.eclipse.birt.report.item.crosstab.ui/src/org/eclipse/birt/report/item/crosstab/ui/views/attributes/provider/GrandTotalProvider.java xtab/org.eclipse.birt.report.item.crosstab.ui/src/org/eclipse/birt/report/item/crosstab/ui/views/attributes/provider/SubTotalProvider.java xtab/org.eclipse.birt.report.item.crosstab.ui/src/org/eclipse/birt/report/item/crosstab/ui/views/dialogs/CrosstabGrandTotalDialog.java xtab/org.eclipse.birt.report.item.crosstab.ui/src/org/eclipse/birt/report/item/crosstab/ui/views/dialogs/CrosstabSubTotalDialog.java,756:xtab/org.eclipse.birt.report.item.crosstab.ui/src/org/eclipse/birt/report/item/crosstab/ui/views/attributes/provider/SubTotalProvider.java 1413:xtab/org.eclipse.birt.report.item.crosstab.ui/src/org/eclipse/birt/report/item/crosstab/ui/views/attributes/provider/GrandTotalProvider.java 2031:xtab/org.eclipse.birt.report.item.crosstab.ui/src/org/eclipse/birt/report/item/crosstab/ui/views/dialogs/CrosstabSubTotalDialog.java 2878:xtab/org.eclipse.birt.report.item.crosstab.ui/src/org/eclipse/birt/report/item/crosstab/ui/views/dialogs/CrosstabGrandTotalDialog.java
555,280228,UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/palette/BasePaletteFactory.java,425:UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/palette/BasePaletteFactory.java
556,284460,chart/org.eclipse.birt.chart.examples/src/org/eclipse/birt/chart/examples/view/ChartExamples.java,117:chart/org.eclipse.birt.chart.examples/src/org/eclipse/birt/chart/examples/view/ChartExamples.java
557,280560,UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/parts/event/ModelEventManager.java,436:UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/parts/event/ModelEventManager.java
558,283973,model/org.eclipse.birt.report.model.tests/test/org/eclipse/birt/report/model/api/APICompatibleTest.java model/org.eclipse.birt.report.model.tests/test/org/eclipse/birt/report/model/parser/UserPropertyTest.java model/org.eclipse.birt.report.model/src/org/eclipse/birt/report/model/api/core/UserPropertyDefn.java model/org.eclipse.birt.report.model/src/org/eclipse/birt/report/model/parser/UserPropertyStructureState.java model/org.eclipse.birt.report.model/src/org/eclipse/birt/report/model/writer/ModuleWriter.java,1:model/org.eclipse.birt.report.model/src/org/eclipse/birt/report/model/api/core/UserPropertyDefn.java 5:model/org.eclipse.birt.report.model/src/org/eclipse/birt/report/model/parser/UserPropertyStructureState.java 19:model/org.eclipse.birt.report.model/src/org/eclipse/birt/report/model/writer/ModuleWriter.java 444:model/org.eclipse.birt.report.model.tests/test/org/eclipse/birt/report/model/parser/UserPropertyTest.java 1268:model/org.eclipse.birt.report.model.tests/test/org/eclipse/birt/report/model/api/APICompatibleTest.java
559,275620,UI/org.eclipse.birt.report.designer.ui.data/src/org/eclipse/birt/report/designer/data/ui/datasource/ExportDataSourceDialog.java,71:UI/org.eclipse.birt.report.designer.ui.data/src/org/eclipse/birt/report/designer/data/ui/datasource/ExportDataSourceDialog.java
560,284100,model/org.eclipse.birt.report.model.tests/test/org/eclipse/birt/report/model/command/PropertyCommandTest.java model/org.eclipse.birt.report.model/src/org/eclipse/birt/report/model/command/AbstractContentCommand.java model/org.eclipse.birt.report.model/src/org/eclipse/birt/report/model/command/ContentCommand.java model/org.eclipse.birt.report.model/src/org/eclipse/birt/report/model/command/ContentElementCommand.java,24:model/org.eclipse.birt.report.model.tests/test/org/eclipse/birt/report/model/command/PropertyCommandTest.java 129:model/org.eclipse.birt.report.model/src/org/eclipse/birt/report/model/command/ContentCommand.java 276:model/org.eclipse.birt.report.model/src/org/eclipse/birt/report/model/command/ContentElementCommand.java 1212:model/org.eclipse.birt.report.model/src/org/eclipse/birt/report/model/command/AbstractContentCommand.java
561,284064,chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/composites/FontCanvas.java chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/composites/FontDefinitionComposite.java chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/composites/InsetsComposite.java chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/composites/LabelAttributesComposite.java chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/wizard/format/popup/chart/LegendTextSheet.java chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/wizard/format/popup/series/SeriesLabelSheet.java chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/wizard/format/popup/series/SeriesTrendlineSheet.java,9:chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/wizard/format/popup/series/SeriesLabelSheet.java 20:chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/wizard/format/popup/chart/LegendTextSheet.java 30:chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/composites/FontCanvas.java 253:chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/wizard/format/popup/series/SeriesTrendlineSheet.java 287:chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/composites/FontDefinitionComposite.java 345:chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/composites/LabelAttributesComposite.java 1333:chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/composites/InsetsComposite.java
562,283507,engine/org.eclipse.birt.report.engine.emitter.prototype.excel/src/org/eclipse/birt/report/engine/emitter/excel/layout/ExcelLayoutEngine.java,5:engine/org.eclipse.birt.report.engine.emitter.prototype.excel/src/org/eclipse/birt/report/engine/emitter/excel/layout/ExcelLayoutEngine.java
563,284223,data/org.eclipse.birt.report.data.oda.jdbc.ui/src/org/eclipse/birt/report/data/oda/jdbc/ui/util/bidi/profile/BidiSettingsSupport.java,4811:data/org.eclipse.birt.report.data.oda.jdbc.ui/src/org/eclipse/birt/report/data/oda/jdbc/ui/util/bidi/profile/BidiSettingsSupport.java
564,284219,data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/api/IModelAdapter.java data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/impl/ModelAdapter.java data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/internal/adapter/DataAdapterUtil.java,42:data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/impl/ModelAdapter.java 252:data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/internal/adapter/DataAdapterUtil.java 631:data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/api/IModelAdapter.java
565,282250,engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/InlineContainerArea.java engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/LineArea.java engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/TextAreaLayout.java,12:engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/InlineContainerArea.java 30:engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/TextAreaLayout.java 49:engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/LineArea.java
566,284312,chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/composites/FillChooserComposite.java,216:chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/composites/FillChooserComposite.java
567,281940,chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/wizard/data/AggregateEditorComposite.java chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/wizard/data/BaseDataDefinitionComponent.java chart/org.eclipse.birt.chart.ui/src/org/eclipse/birt/chart/ui/swt/DataDefinitionTextManager.java chart/org.eclipse.birt.chart.ui/src/org/eclipse/birt/chart/ui/swt/IQueryExpressionManager.java,1:chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/wizard/data/BaseDataDefinitionComponent.java 29:chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/wizard/data/AggregateEditorComposite.java 1263:chart/org.eclipse.birt.chart.ui/src/org/eclipse/birt/chart/ui/swt/DataDefinitionTextManager.java 2887:chart/org.eclipse.birt.chart.ui/src/org/eclipse/birt/chart/ui/swt/IQueryExpressionManager.java
568,283965,engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/AbstractArea.java engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/FixedLayoutPageHintGenerator.java,15:engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/FixedLayoutPageHintGenerator.java 372:engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/AbstractArea.java
569,282846,data/org.eclipse.birt.data/src/org/eclipse/birt/data/engine/impl/ColumnBindingMetaData.java data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/impl/ModelAdapter.java,1:data/org.eclipse.birt.data/src/org/eclipse/birt/data/engine/impl/ColumnBindingMetaData.java 30:data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/impl/ModelAdapter.java
570,284130,engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/RowArea.java,29:engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/RowArea.java
571,284075,engine/org.eclipse.birt.report.engine.emitter.pdf/src/org/eclipse/birt/report/engine/emitter/pdf/PDFPage.java engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/PageArea.java,80:engine/org.eclipse.birt.report.engine.emitter.pdf/src/org/eclipse/birt/report/engine/emitter/pdf/PDFPage.java 109:engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/PageArea.java
572,283990,data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/impl/ModelAdapter.java data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/internal/adapter/ExpressionAdapter.java,59:data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/impl/ModelAdapter.java 1776:data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/internal/adapter/ExpressionAdapter.java
573,281460,UI/org.eclipse.birt.report.designer.ui.lib.explorer/src/org/eclipse/birt/report/designer/ui/lib/explorer/action/PasteResourceAction.java,370:UI/org.eclipse.birt.report.designer.ui.lib.explorer/src/org/eclipse/birt/report/designer/ui/lib/explorer/action/PasteResourceAction.java
574,281181,UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/core/model/DesignElementHandleAdapter.java UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/editparts/MasterPageEditPart.java UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/editparts/ReportDesignEditPart.java UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/editparts/ReportElementEditPart.java,1:UI/org.eclipse.birt.report.designer.core/src/org/eclipse/birt/report/designer/core/model/DesignElementHandleAdapter.java 3:UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/editparts/MasterPageEditPart.java 18:UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/editparts/ReportDesignEditPart.java 33:UI/org.eclipse.birt.report.designer.ui/src/org/eclipse/birt/report/designer/internal/ui/editors/schematic/editparts/ReportElementEditPart.java
575,284192,chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/wizard/format/popup/series/SeriesPaletteSheet.java,617:chart/org.eclipse.birt.chart.ui.extension/src/org/eclipse/birt/chart/ui/swt/wizard/format/popup/series/SeriesPaletteSheet.java
576,282225,xtab/org.eclipse.birt.report.item.crosstab.core/src/org/eclipse/birt/report/item/crosstab/core/re/executor/ColumnWalker.java xtab/org.eclipse.birt.report.item.crosstab.core/src/org/eclipse/birt/report/item/crosstab/core/re/executor/CrosstabCornerHeaderRowExecutor.java,1899:xtab/org.eclipse.birt.report.item.crosstab.core/src/org/eclipse/birt/report/item/crosstab/core/re/executor/CrosstabCornerHeaderRowExecutor.java 2288:xtab/org.eclipse.birt.report.item.crosstab.core/src/org/eclipse/birt/report/item/crosstab/core/re/executor/ColumnWalker.java
577,283253,chart/org.eclipse.birt.chart.reportitem/src/org/eclipse/birt/chart/reportitem/ChartReportItemImpl.java,458:chart/org.eclipse.birt.chart.reportitem/src/org/eclipse/birt/chart/reportitem/ChartReportItemImpl.java
578,284033,viewer/org.eclipse.birt.report.viewer/birt/WEB-INF/classes/org/eclipse/birt/report/session/ViewingSessionConfig.java,
579,283376,data/org.eclipse.birt.report.engine.script.javascript/src/org/eclipse/birt/report/engine/javascript/JavascriptEngine.java,4633:data/org.eclipse.birt.report.engine.script.javascript/src/org/eclipse/birt/report/engine/javascript/JavascriptEngine.java
580,283972,chart/org.eclipse.birt.chart.device.swt/src/org/eclipse/birt/chart/device/swt/SwtRendererImpl.java,71:chart/org.eclipse.birt.chart.device.swt/src/org/eclipse/birt/chart/device/swt/SwtRendererImpl.java
581,283493,engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/layout/html/HTMLLeafItemLM.java,9:engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/layout/html/HTMLLeafItemLM.java
582,283481,engine/org.eclipse.birt.report.engine.emitter.html/src/org/eclipse/birt/report/engine/emitter/html/HTMLReportEmitter.java,91:engine/org.eclipse.birt.report.engine.emitter.html/src/org/eclipse/birt/report/engine/emitter/html/HTMLReportEmitter.java
583,283355,engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/layout/html/HTMLLeafItemLM.java engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/FixedLayoutPageHintGenerator.java,635:engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/layout/html/HTMLLeafItemLM.java 4054:engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/nLayout/area/impl/FixedLayoutPageHintGenerator.java
584,282110,chart/org.eclipse.birt.chart.device.extension/src/org/eclipse/birt/chart/device/image/JavaxImageIOWriter.java chart/org.eclipse.birt.chart.engine/src/org/eclipse/birt/chart/model/attribute/impl/MultiURLValuesImpl.java,157:chart/org.eclipse.birt.chart.device.extension/src/org/eclipse/birt/chart/device/image/JavaxImageIOWriter.java 1133:chart/org.eclipse.birt.chart.engine/src/org/eclipse/birt/chart/model/attribute/impl/MultiURLValuesImpl.java
585,283285,data/org.eclipse.birt.data/src/org/eclipse/birt/data/engine/olap/impl/query/PreparedCubeQuery.java,3174:data/org.eclipse.birt.data/src/org/eclipse/birt/data/engine/olap/impl/query/PreparedCubeQuery.java
586,283284,UI/org.eclipse.birt.report.designer.ui.data/src/org/eclipse/birt/report/designer/data/ui/dataset/DataSetComputedColumnsPage.java data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/impl/ModelAdapter.java,91:data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/impl/ModelAdapter.java 977:UI/org.eclipse.birt.report.designer.ui.data/src/org/eclipse/birt/report/designer/data/ui/dataset/DataSetComputedColumnsPage.java
587,283268,chart/org.eclipse.birt.chart.engine/src/org/eclipse/birt/chart/render/CurveRenderer.java chart/org.eclipse.birt.chart.engine/src/org/eclipse/birt/chart/util/ChartUtil.java chart/org.eclipse.birt.chart.engine/src/org/eclipse/birt/chart/util/FillUtil.java,30:chart/org.eclipse.birt.chart.engine/src/org/eclipse/birt/chart/util/ChartUtil.java 44:chart/org.eclipse.birt.chart.engine/src/org/eclipse/birt/chart/util/FillUtil.java 594:chart/org.eclipse.birt.chart.engine/src/org/eclipse/birt/chart/render/CurveRenderer.java
588,283280,data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/internal/adapter/SortAdapter.java,61:data/org.eclipse.birt.report.data.adapter/src/org/eclipse/birt/report/data/adapter/internal/adapter/SortAdapter.java
589,282949,xtab/org.eclipse.birt.report.item.crosstab.ui/src/org/eclipse/birt/report/item/crosstab/ui/views/dialogs/CrosstabFilterConditionBuilder.java,94:xtab/org.eclipse.birt.report.item.crosstab.ui/src/org/eclipse/birt/report/item/crosstab/ui/views/dialogs/CrosstabFilterConditionBuilder.java
590,283105,chart/org.eclipse.birt.chart.engine/src/org/eclipse/birt/chart/device/ImageWriterFactory.java,
591,281183,engine/org.eclipse.birt.report.engine.emitter.html/src/org/eclipse/birt/report/engine/emitter/html/HTMLReportEmitter.java engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/emitter/HTMLWriter.java,13:engine/org.eclipse.birt.report.engine.emitter.html/src/org/eclipse/birt/report/engine/emitter/html/HTMLReportEmitter.java 837:engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/emitter/HTMLWriter.java
592,282641,engine/org.eclipse.birt.report.engine.emitter.html/src/org/eclipse/birt/report/engine/emitter/html/util/HTMLEmitterUtil.java,240:engine/org.eclipse.birt.report.engine.emitter.html/src/org/eclipse/birt/report/engine/emitter/html/util/HTMLEmitterUtil.java
593,282979,engine/org.eclipse.birt.report.engine.emitter.wpml/src/org/eclipse/birt/report/engine/emitter/wpml/AbstractEmitterImpl.java,3:engine/org.eclipse.birt.report.engine.emitter.wpml/src/org/eclipse/birt/report/engine/emitter/wpml/AbstractEmitterImpl.java
