Bug ID,Commit Files
CASSANDRA-1006,"* fb7b2863b2964bf2171db30c9550ef8950127d6b do not call toString() directly on token. Patch by Stu Hood, reviewed by Gary Dusbabek. CASSANDRA-1006
  src/java/org/apache/cassandra/dht/BootStrapper.java
  test/unit/org/apache/cassandra/dht/BootStrapperTest.java"
CASSANDRA-1008,"* 1bb9e74a90ec6f2c8a1ee316483289fc13979e0a convert byte tokens to strings correctly.  patch by Erick Tryzelaar; reviewed by Stu Hood for CASSANDRA-1008
  src/java/org/apache/cassandra/service/StorageService.java"
CASSANDRA-1011,"* 4dc9d5667672291fd355cec7a668bb483801fafb fail bootstrap if all nodes are bootstrapping. patch by gdusbabek, reviewed by jbellis. CASSANDRA-1011
  src/java/org/apache/cassandra/dht/BootStrapper.java
  test/unit/org/apache/cassandra/dht/BootStrapperTest.java"
CASSANDRA-1019,"* 040d0e71cc361181355cb69d85ee6cec263fc2ea rename StreamCompletionAction to Action. patch by stuhood, reviwed by gdusbabek. CASSANDRA-1019
| src/java/org/apache/cassandra/streaming/FileStatus.java
| src/java/org/apache/cassandra/streaming/FileStatusHandler.java
| src/java/org/apache/cassandra/streaming/IncomingStreamReader.java
| src/java/org/apache/cassandra/streaming/StreamFinishedVerbHandler.java
* 15543601dcb095c63a8a985e3de5ce27e97c1657 rename StreamCompletionHandler to FileStatusHandler. patch by stuhood, reviwed by gdusbabek. CASSANDRA-1019
| src/java/org/apache/cassandra/streaming/FileStatusHandler.java
| src/java/org/apache/cassandra/streaming/IStreamComplete.java
| src/java/org/apache/cassandra/streaming/IncomingStreamReader.java
| src/java/org/apache/cassandra/streaming/StreamInManager.java
| src/java/org/apache/cassandra/streaming/StreamInitiateVerbHandler.java
* cdf154de570560082ba9d13ad3227787a0fae0ac rename CompletedFileStatus to FileStatus. patch by stuhood, reviwed by gdusbabek. CASSANDRA-1019
  src/java/org/apache/cassandra/streaming/FileStatus.java
  src/java/org/apache/cassandra/streaming/IStreamComplete.java
  src/java/org/apache/cassandra/streaming/IncomingStreamReader.java
  src/java/org/apache/cassandra/streaming/StreamCompletionHandler.java
  src/java/org/apache/cassandra/streaming/StreamFinishedVerbHandler.java
  src/java/org/apache/cassandra/streaming/StreamInManager.java
  src/java/org/apache/cassandra/streaming/StreamInitiateVerbHandler.java"
CASSANDRA-1028,"* 5d782903666c35c74af3c669b6beac416a346b4d Double flush AE_SERVICE_STAGE to ensure that tasks triggered by existing tasks are cleared.  patch by Stu Hood; reviewed by jbellis for CASSANDRA-1028
  test/unit/org/apache/cassandra/service/AntiEntropyServiceTest.java
* 8ede1adaf244fc389f16ea6666308967c89272cb block for AES to clear before we teardown the token metadata for the next test.  patch by Stu Hood; reviewed by jbellis for CASSANDRA-1028
  test/unit/org/apache/cassandra/service/AntiEntropyServiceTest.java"
CASSANDRA-10739,"* 3864b2114ab11a02cf55e91c1e5553c9c4f854bc Rejects partition range deletions when columns are specified
  CHANGES.txt
  src/java/org/apache/cassandra/cql3/statements/DeleteStatement.java
  test/unit/org/apache/cassandra/cql3/validation/operations/DeleteTest.java"
CASSANDRA-10743,"* f4037f9b3b20071e66298d4a7d228c1e46bb5206 Support multiple addComplexDeletion() call in BTreeRow.Builder
  CHANGES.txt
  src/java/org/apache/cassandra/db/rows/BTreeRow.java"
CASSANDRA-10756,"* 85ed48a1d9ac5aafb2a914a05ef6a620eeec5d0d Backport CASSANDRA-10756 (race condition in NativeTransportService shutdown)
  CHANGES.txt
  src/java/org/apache/cassandra/service/NativeTransportService.java
* f07a406e5707966d3afcc2347b186743fc3c6f9f Fix possible race condition in NativeTransportService.testConcurrentDestroys
  CHANGES.txt
  src/java/org/apache/cassandra/service/NativeTransportService.java"
CASSANDRA-10779,"* c4d83f1ba31735963b451beb38a553c92145d5d4 Fix Mutation.applyUnsafe to block
  src/java/org/apache/cassandra/db/Mutation.java
* 839a5bab2a7f5385a878e5dc5f8b01bda28fa777 Mutations do not block for completion under view lock contention
  CHANGES.txt
  src/java/org/apache/cassandra/db/Keyspace.java
  src/java/org/apache/cassandra/db/Mutation.java
  src/java/org/apache/cassandra/db/MutationVerbHandler.java
  src/java/org/apache/cassandra/db/commitlog/CommitLogReplayer.java
  src/java/org/apache/cassandra/service/paxos/PaxosState.java"
CASSANDRA-10788,"* d0da9e7612e6fb94fea8298a88215783a8125311 Fix issue with data dir migration on upgrade
  CHANGES.txt
  src/java/org/apache/cassandra/db/SystemKeyspace.java
  test/unit/org/apache/cassandra/db/SystemKeyspaceTest.java"
