Bug ID,Commit Files
HADOOP-6172,"* e5ea0ce4a6a05bf3585f71ad108a3bc4bfe35ef1 HADOOP-6172. Fix jar file names in hadoop-config.sh and include ${build.src} as a part of the source list in build.xml.  Contributed by Hong Tang
  CHANGES.txt
  bin/hadoop-config.sh
  build.xml"
HADOOP-6177,"* d70dd1a2df60fc85fdb42b105be81249baa38fc1 HADOOP-6177. FSInputChecker.getPos() would return position greater than the file size. Contributed by Hong Tang.
  CHANGES.txt
  src/java/org/apache/hadoop/fs/FSInputChecker.java
  src/test/core/org/apache/hadoop/fs/TestChecksumFileSystem.java
  src/test/core/org/apache/hadoop/fs/TestLocalFileSystem.java"
HADOOP-6180,"* 09d826ebed0394d80dd24432a3bbf894efe46265 HADOOP-6180. NameNode slowed down when many files with same filename were moved to Trash. Contributed by Boris Shkolnik.
  CHANGES.txt
  src/java/org/apache/hadoop/fs/Trash.java
  src/test/core/org/apache/hadoop/fs/TestTrash.java"
HADOOP-6257,"* 7ee09e0939b131fe5acc13906c613265ab8a9548 HADOOP-6257. Two TestFileSystem classes are confusing hadoop-hdfs-hdfwithmr. Contributed by Philip Zeyliger.
  CHANGES.txt
  src/test/core/org/apache/hadoop/fs/TestFileSystemCaching.java"
HADOOP-6281,"* 9de98c42cb68f5bf92a16653f2e97b6e24896e5f HADOOP-6281. Avoid null pointer exceptions when the jsps don't have paramaters (omalley)
  CHANGES.txt
  src/java/org/apache/hadoop/http/HtmlQuoting.java
  src/test/core/org/apache/hadoop/http/TestHtmlQuoting.java"
HADOOP-6283,"* 710d5177685529c95b49eac02b7cc25a084d6b5f HADOOP-6283. Improve the exception messages thrown by FileUtil$HardLink.getLinkCount(..).
  CHANGES.txt
  src/java/org/apache/hadoop/fs/FileUtil.java"
HADOOP-6285,"* 2031231edbecdcdfdb0c00e92303efdb77760073 HADOOP-6285. Fix the result type of the getParameterMap method in the HttpServer.QuotingInputFilter. (omalley)
  CHANGES.txt
  src/java/org/apache/hadoop/http/HttpServer.java
  src/test/core/org/apache/hadoop/http/TestHttpServer.java"
HADOOP-6327,"* 4f4c74f76e0f253936f360bc4d65b3d1fb41cb4d HADOOP-6327. FileContext tests should not use /tmp and should clean up files.  Contributed by Sanjay Radia
  CHANGES.txt
  src/test/core/org/apache/hadoop/fs/FileContextCreateMkdirBaseTest.java
  src/test/core/org/apache/hadoop/fs/FileContextMainOperationsBaseTest.java"
HADOOP-6386,"* 929e91a08c5387c692ed3257361190b83d72f2e9 HADOOP-6386. NameNode's HttpServer can't instantiate InetSocketAddress: IllegalArgumentException is thrown. Contributed by Konstantin Boudnik.
  CHANGES.txt
  src/java/org/apache/hadoop/http/HttpServer.java"
HADOOP-6452,"* cc2f077d437139e79052fbafa37a2065f5a1bd1d HADOOP-6452 Hadoop JSP pages don't work under a security manager
  src/java/org/apache/hadoop/security/authorize/ConfiguredPolicy.java
  src/test/core/org/apache/hadoop/security/authorize/TestConfiguredPolicy.java"
