Bug ID,Commit Files
HBASE-10,"* 5af9719de39034761244823cdd77b45ca0fa6d2e HBASE-10    HRegionServer hangs upon exit due to DFSClient Exception
  CHANGES.txt
  src/java/org/apache/hadoop/hbase/regionserver/CompactSplitThread.java
  src/java/org/apache/hadoop/hbase/regionserver/Flusher.java
  src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
  src/java/org/apache/hadoop/hbase/regionserver/LogRoller.java"
HBASE-1000,"* 4024f5f128e6f3200b7e8f9fe523f4e91ea76e5c HBASE-1000 Sleeper.sleep does not go back to sleep when interrupted and no stop flag given.
  CHANGES.txt
  src/java/org/apache/hadoop/hbase/Chore.java
  src/java/org/apache/hadoop/hbase/util/Sleeper.java"
HBASE-10005,"* fd7ee9e29c429237584fe5cc4ee1e3e761cee26f HBASE-10005 TestVisibilityLabels fails occasionally (addendum)
| hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/VisibilityController.java
| hbase-server/src/test/java/org/apache/hadoop/hbase/security/visibility/TestVisibilityLabels.java
* b4f0a38daabc6ba6b607f75e432a29546aeee315 HBASE-10005 TestVisibilityLabels fails occasionally
  hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/VisibilityController.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/security/visibility/TestVisibilityLabels.java"
HBASE-10015,"* 260fa3a539719e84473b61ebe51d119d75a03007 HBASE-10015 Replace intrinsic locking with explicit locks in StoreScanner
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreScanner.java"
HBASE-10026,"* 997d1bb7271ae76c8b26fc87a9dd45e4d0853281 HBASE-10026 HBaseAdmin#createTable could fail if region splits too fast
  hbase-client/src/main/java/org/apache/hadoop/hbase/client/HBaseAdmin.java"
HBASE-10029,"* b8492391620541b80d398929b26822106e926f33 HBASE-10029 Addendum checks for args against null
| hbase-server/src/main/java/org/apache/hadoop/hbase/fs/HFileSystem.java
* 5c3bdc9141ebc37e436465c993563ed1a936f32f HBASE-10029 Proxy created by HFileSystem#createReorderingProxy() should properly close when connecting to HA namenode
  hbase-server/src/main/java/org/apache/hadoop/hbase/fs/HFileSystem.java"
HBASE-10073,"* 5748f08ea0ec94ab56670d663a1fb233d4a8f153 HBASE-10073. Revert HBASE-9718 (Add a test scope dependency on org.slf4j:slf4j-api to hbase-client)
  hbase-client/pom.xml"
HBASE-10078,"* 0525f2c876b43d0b15736add64e0bb69e379b643 HBASE-10078 Dynamic Filter - Not using DynamicClassLoader when using FilterList
  hbase-client/src/test/java/org/apache/hadoop/hbase/client/TestGet.java"
HBASE-1010,"* 2c502c24fcd77d6740edc936e3cf895fbc31d605 HBASE-1010  IOE on regionserver shutdown because hadn't opened an HLog
  CHANGES.txt
  src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java"
HBASE-10103,"* 5981dc4511eb53bfc6c79635cf29880b0d642fdc Amend HBASE-10103. Fix testHealthCheckerTimeout and add default test timeouts
  hbase-server/src/test/java/org/apache/hadoop/hbase/TestNodeHealthCheckChore.java
* 63aff6d35cd9c6ac7904c3ce328f88f0b2de2e70 HBASE-10103. TestNodeHealthCheckChore#testRSHealthChore: Stoppable must have been stopped
  hbase-server/src/test/java/org/apache/hadoop/hbase/TestNodeHealthCheckChore.java"
HBASE-10107,"* 05f2b1dfacaae53f40963d31a9cb924449f80fe1 HBASE-10107. [JDK7] TestHBaseSaslRpcClient.testHBaseSaslRpcClientCreation failing on Jenkins
  hbase-server/src/test/java/org/apache/hadoop/hbase/security/TestHBaseSaslRpcClient.java"
HBASE-10112,"* e7c1acfecc3aad09db8160906b8f4de346d0f5e7 HBASE-10112 Hbase rest query params for maxVersions and maxValues are not parsed
  hbase-server/src/main/java/org/apache/hadoop/hbase/rest/RowSpec.java"
HBASE-10132,"* 4b630436433ede20c417d8ccbead92277819b365 HBASE-10132. sun.security.pkcs11.wrapper.PKCS11Exception: CKR_ARGUMENTS_BAD
  src/main/docbkx/troubleshooting.xml"
HBASE-10142,"* 46e9d08dba74f059bc2d5b2216b459d1e63a722a HBASE-10142 TestLogRolling#testLogRollOnDatanodeDeath test failure
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/FSHLog.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/wal/TestLogRolling.java"
HBASE-10149,"* 4c8631145e13828fc64d55a4b75ce98c007228b5 HBASE-10149. TestZKPermissionsWatcher.testPermissionsWatcher test failure
  hbase-server/src/main/java/org/apache/hadoop/hbase/security/access/TableAuthManager.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/security/access/TestZKPermissionsWatcher.java"
HBASE-10193,"* 28c3e3a61caff611434655912e09e8faee3061e5 HBASE-10193 - Cleanup HRegion if one of the store fails to open at region initialization (Aditya Kishore)
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStore.java"
HBASE-10221,"* 7e5abab822a685d07455b646358d1c608879f542 HBASE-10221. Region from coprocessor invocations can be null on failure
  hbase-client/src/main/java/org/apache/hadoop/hbase/client/HTable.java"
HBASE-10267,"* 57c8d90ac49aa875bf7429e7c5914a160d24261a HBASE-10267. TestNamespaceCommands occasionally fails
  hbase-server/src/test/java/org/apache/hadoop/hbase/security/access/TestNamespaceCommands.java"
HBASE-10272,"* da5e98485ae795a368eedac5be1f18011b95cb07 HBASE-10272 Cluster becomes nonoperational if the node hosting the active Master AND ROOT/META table goes offline
  hbase-client/src/main/java/org/apache/hadoop/hbase/catalog/CatalogTracker.java"
