Bug ID,Commit Files
SPR-10070,"* 0751b2cbeb96697bd377578771e9c7b29b94658a Convert Gradle build to use new propdeps-plugin
  build.gradle
  gradle/ide.gradle
  gradle/merge-artifacts.gradle
  gradle/publish-maven.gradle
  spring-aspects/aspects.gradle
* 19d7cedcf2e2a4c6ab837fe59d929a0a26c83f4c Fix classpaths regarding slf4j versions
  build.gradle
  spring-test/src/test/java/org/springframework/test/context/junit4/orm/HibernateSessionFlushingTests.java"
SPR-10107,"* c242abada1ba450b18629dda8bb5d17d0b67a0be Fixed QualifierAnnotationAutowireCandidateResolver's detection of custom qualifier annotations
  spring-beans/src/main/java/org/springframework/beans/factory/annotation/QualifierAnnotationAutowireCandidateResolver.java
  spring-context/src/test/java/org/springframework/beans/factory/support/QualifierAnnotationAutowireContextTests.java
  spring-core/src/main/java/org/springframework/util/StringUtils.java"
SPR-10115,"* 38f84fa03ed9ca35750bb76303f94dd2dd8abfc2 Merge branch 'SPR-10115' into 3.2.x
* 7a19fd575045333b970e645f6db8a15302484038 Fix regression in static setter method support
  spring-beans/src/main/java/org/springframework/beans/ExtendedBeanInfo.java
  spring-beans/src/main/java/org/springframework/beans/ExtendedBeanInfoFactory.java
  spring-beans/src/test/java/org/springframework/beans/BeanWrapperTests.java
  spring-beans/src/test/java/org/springframework/beans/ExtendedBeanInfoTests.java"
SPR-10138,"* 3cdb866bda078a24d3fccb36b08a449a970a524f Relax ConfigurableWebEnvironment signatures
  spring-web/src/main/java/org/springframework/web/context/ConfigurableWebApplicationContext.java
  spring-web/src/main/java/org/springframework/web/context/ContextLoader.java
  spring-web/src/main/java/org/springframework/web/context/support/AbstractRefreshableWebApplicationContext.java
  spring-web/src/main/java/org/springframework/web/context/support/GenericWebApplicationContext.java
  spring-web/src/main/java/org/springframework/web/context/support/StaticWebApplicationContext.java
  spring-webmvc/src/main/java/org/springframework/web/servlet/FrameworkServlet.java
  spring-webmvc/src/main/java/org/springframework/web/servlet/HttpServletBean.java
  spring-webmvc/src/test/java/org/springframework/web/servlet/DispatcherServletTests.java"
SPR-10139,"* 42cdb200edf37af50d4bab8bbf0514434916ba69 Fix null parameterName issue in content negotiation
  spring-web/src/main/java/org/springframework/web/accept/ContentNegotiationManagerFactoryBean.java
  spring-web/src/main/java/org/springframework/web/accept/ParameterContentNegotiationStrategy.java
  spring-web/src/test/java/org/springframework/web/accept/ContentNegotiationManagerFactoryBeanTests.java"
SPR-10144,"* 97ae403b53b5ca2402c5d651dfdc6295d6372735 AbstractAdvisingBeanPostProcessor caches per bean target class, working for null bean names as well
  spring-aop/src/main/java/org/springframework/aop/framework/AbstractAdvisingBeanPostProcessor.java"
SPR-10178,"* 6888a6f2867d6264fce832d8ae00205988ed5a94 Restore *.aj whitespace
  spring-aspects/src/main/java/org/springframework/beans/factory/aspectj/AbstractBeanConfigurerAspect.aj
  spring-aspects/src/main/java/org/springframework/beans/factory/aspectj/AbstractDependencyInjectionAspect.aj
  spring-aspects/src/main/java/org/springframework/beans/factory/aspectj/AbstractInterfaceDrivenDependencyInjectionAspect.aj
  spring-aspects/src/main/java/org/springframework/beans/factory/aspectj/AnnotationBeanConfigurerAspect.aj
  spring-aspects/src/main/java/org/springframework/beans/factory/aspectj/GenericInterfaceDrivenDependencyInjectionAspect.aj
  spring-aspects/src/main/java/org/springframework/cache/aspectj/AbstractCacheAspect.aj
  spring-aspects/src/main/java/org/springframework/cache/aspectj/AnnotationCacheAspect.aj
  spring-aspects/src/main/java/org/springframework/mock/staticmock/AbstractMethodMockingControl.aj
  spring-aspects/src/main/java/org/springframework/mock/staticmock/AnnotationDrivenStaticEntityMockingControl.aj
  spring-aspects/src/main/java/org/springframework/orm/jpa/aspectj/JpaExceptionTranslatorAspect.aj
  spring-aspects/src/main/java/org/springframework/scheduling/aspectj/AbstractAsyncExecutionAspect.aj
  spring-aspects/src/main/java/org/springframework/transaction/aspectj/AbstractTransactionAspect.aj
  spring-aspects/src/main/java/org/springframework/transaction/aspectj/AnnotationTransactionAspect.aj"
SPR-10186,"* 40ed4e78bee40dbf2afc12b0ac2fa8d12bb60b35 Make UriComponents Serializable
  spring-web/src/main/java/org/springframework/web/util/UriComponents.java"
SPR-10198,"* 21becef1bdd36aac41c519798a772dbadb5d6973 Support Date to String in JodaTimeConverters
  spring-context/src/main/java/org/springframework/format/datetime/DateFormatterRegistrar.java
  spring-context/src/main/java/org/springframework/format/datetime/joda/JodaTimeConverters.java
  spring-context/src/test/java/org/springframework/format/datetime/DateFormattingTests.java
  spring-context/src/test/java/org/springframework/format/datetime/joda/JodaTimeFormattingTests.java"
SPR-10210,"* 18df9fed9257b8cb80c6d321bf4600caec21ec33 Fixed minor typo
  spring-expression/src/test/java/org/springframework/expression/spel/SpelReproTests.java
  spring-expression/src/test/java/org/springframework/expression/spel/spr10210/A.java
* 0b6101478e705f5fff1fa7e1cd2b1159ac60280c Use bridge methods in ReflectiveMethodResolver
| spring-expression/src/test/java/org/springframework/expression/spel/SpelReproTests.java
| spring-expression/src/test/java/org/springframework/expression/spel/spr10210/A.java
* 634284e1fdd9a32b7356117055bc62b64d6e0add Use bridge methods in ReflectiveMethodResolver
  spring-expression/src/main/java/org/springframework/expression/spel/support/ReflectiveMethodResolver.java
  spring-expression/src/test/java/org/springframework/expression/spel/SpelReproTests.java
  spring-expression/src/test/java/org/springframework/expression/spel/spr10210/A.java
  spring-expression/src/test/java/org/springframework/expression/spel/spr10210/D.java
  spring-expression/src/test/java/org/springframework/expression/spel/spr10210/comp/B.java
  spring-expression/src/test/java/org/springframework/expression/spel/spr10210/infra/C.java"
