Project,BugID,Filename,Path,Method name,,Exception,Label,,Unique Exception,,Unique Filename,,Method name
AspectJ,100227,EclipseFactory.java,org.aspectj.ajdt.internal.compiler.lookup.EclipseFactory,fromBinding,,NullPointerException,,,NullPointerException,,EclipseFactory.java,,fromBinding
AspectJ,100227,InterTypeFieldDeclaration.java,org.aspectj.ajdt.internal.compiler.ast.InterTypeFieldDeclaration,build,,NullPointerException,,,BCException,,InterTypeFieldDeclaration.java,,build
AspectJ,100227,AspectDeclaration.java,org.aspectj.ajdt.internal.compiler.ast.AspectDeclaration,buildInterTypeAndPerClause,,NullPointerException,,,IllegalStateException,,AspectDeclaration.java,,buildInterTypeAndPerClause
AspectJ,100227,AjLookupEnvironment.java,org.aspectj.ajdt.internal.compiler.lookup.AjLookupEnvironment,buildInterTypeAndPerClause,,NullPointerException,,,ClassCastException,,AjLookupEnvironment.java,,buildInterTypeAndPerClause
AspectJ,100227,AjLookupEnvironment.java,org.aspectj.ajdt.internal.compiler.lookup.AjLookupEnvironment,completeTypeBindings,,NullPointerException,,,ClassFormatException,,Compiler.java,,completeTypeBindings
AspectJ,100227,Compiler.java,org.aspectj.org.eclipse.jdt.internal.compiler.Compiler,beginToCompile,,NullPointerException,,,StackOverflowError,,AbstractEditPart.java,,beginToCompile
AspectJ,100227,Compiler.java,org.aspectj.org.eclipse.jdt.internal.compiler.Compiler,compile,,NullPointerException,,,LinkageError,,TableUtil.java,,compile
AspectJ,101407,AbstractEditPart.java,org.eclipse.gef.editparts.AbstractEditPart,getRoot,,NullPointerException,,,IllegalProgramArgumentException,,TableEditPart.java,,getRoot
AspectJ,101407,AbstractEditPart.java,org.eclipse.gef.editparts.AbstractEditPart,getViewer,,NullPointerException,,,UnsupportedOperationException,,MergeAction.java,,getViewer
AspectJ,101407,TableUtil.java,org.eclipse.birt.report.designer.internal.ui.editors.schematic.editparts.TableUtil,getSelectionCells,,NullPointerException,,,AssertionFailedError,,WorkbenchPartAction.java,,getSelectionCells
AspectJ,101407,TableEditPart.java,org.eclipse.birt.report.designer.internal.ui.editors.schematic.editparts.TableEditPart,canMerge,,NullPointerException,,,VerifyError,,RetargetAction.java,,canMerge
AspectJ,101407,MergeAction.java,org.eclipse.birt.report.designer.internal.ui.editors.schematic.actions.MergeAction,calculateEnabled,,NullPointerException,,,FileNotFoundException,,PartListenerList.java,,calculateEnabled
AspectJ,101407,WorkbenchPartAction.java,org.eclipse.gef.ui.actions.WorkbenchPartAction,isEnabled,,NullPointerException,,,StringIndexOutOfBoundsException,,InternalPlatform.java,,isEnabled
AspectJ,101407,RetargetAction.java,org.eclipse.ui.actions.RetargetAction,setActionHandler,,NullPointerException,,,IndexOutOfBoundsException,,Platform.java,,setActionHandler
AspectJ,101407,RetargetAction.java,org.eclipse.ui.actions.RetargetAction,partActivated,,NullPointerException,,,ArrayIndexOutOfBoundsException,,PartListenerList.java,,partActivated
AspectJ,101407,PartListenerList.java,org.eclipse.ui.internal.PartListenerList$1,run,,NullPointerException,,,ZipException,,WorkbenchPage.java,,run
AspectJ,101407,InternalPlatform.java,org.eclipse.core.internal.runtime.InternalPlatform,run,,NullPointerException,,,RuntimeException,,PartPane.java,,run
AspectJ,101407,Platform.java,org.eclipse.core.runtime.Platform,run,,NullPointerException,,,IllegalArgumentException,,EditorPane.java,,run
AspectJ,101407,PartListenerList.java,org.eclipse.ui.internal.PartListenerList,firePartActivated,,NullPointerException,,,ExitSecurityException,,EventTable.java,,firePartActivated
AspectJ,101407,WorkbenchPage.java,org.eclipse.ui.internal.WorkbenchPage,firePartActivated,,NullPointerException,,,AbortException,,Widget.java,,firePartActivated
AspectJ,101407,WorkbenchPage.java,org.eclipse.ui.internal.WorkbenchPage,setActivePart,,NullPointerException,,,ConcurrentModificationException,,Shell.java,,setActivePart
AspectJ,101407,WorkbenchPage.java,org.eclipse.ui.internal.WorkbenchPage,requestActivation,,NullPointerException,,,ClassNotFoundException,,Control.java,,requestActivation
AspectJ,101407,PartPane.java,org.eclipse.ui.internal.PartPane,requestActivation,,NullPointerException,,,UnsupportedClassVersionError,,Canvas.java,,requestActivation
AspectJ,101407,EditorPane.java,org.eclipse.ui.internal.EditorPane,requestActivation,,NullPointerException,,,AssertionError,,Display.java,,requestActivation
AspectJ,101407,PartPane.java,org.eclipse.ui.internal.PartPane,handleEvent,,NullPointerException,,,,,Native Method,,handleEvent
AspectJ,101407,EventTable.java,org.eclipse.swt.widgets.EventTable,sendEvent,,NullPointerException,,,ClassFormatError,,Composite.java,,sendEvent
AspectJ,101407,Widget.java,org.eclipse.swt.widgets.Widget,sendEvent,,NullPointerException,,,NoAspectBoundException,,GraphicalEditor.java,,sendEvent
AspectJ,101407,Shell.java,org.eclipse.swt.widgets.Shell,setActiveControl,,NullPointerException,,,AccessControlException,,MultiPageEditorPart.java,,setActiveControl
AspectJ,101407,Control.java,org.eclipse.swt.widgets.Control,sendFocusEvent,,NullPointerException,,,,,ReportEditor.java,,sendFocusEvent
AspectJ,101407,Control.java,org.eclipse.swt.widgets.Control,WM_SETFOCUS,,NullPointerException,,,,,SaveAsAction.java,,WM_SETFOCUS
