Project,BugID,Filename,Path,Method name,Path,Exception,Label,,Unique Exception,,Filename,,,Method name
Birt,116180,ReportTemplateTransferDropTargetListener.java,org.eclipse.birt.report.designer.internal.ui.palette.ReportTemplateTransferDropTargetListener,getSingleTransferData,org.eclipse.birt.report.designer.internal.ui.palette.ReportTemplateTransferDropTargetListener,ArrayIndexOutOfBoundsException,,,ArrayIndexOutOfBoundsException,,ReportTemplateTransferDropTargetListener.java,,,getSingleTransferData
Birt,116180,ReportTemplateTransferDropTargetListener.java,org.eclipse.birt.report.designer.internal.ui.palette.ReportTemplateTransferDropTargetListener,getFactory,org.eclipse.birt.report.designer.internal.ui.palette.ReportTemplateTransferDropTargetListener,ArrayIndexOutOfBoundsException,,,SQL Exception,,TemplateTransferDropTargetListener.java,,,getFactory
Birt,116180,TemplateTransferDropTargetListener.java,org.eclipse.gef.dnd.TemplateTransferDropTargetListener,createTargetRequest,org.eclipse.gef.dnd.TemplateTransferDropTargetListener,ArrayIndexOutOfBoundsException,,,NullPointerException,,AbstractTransferDropTargetListener.java,,,createTargetRequest
Birt,116180,AbstractTransferDropTargetListener.java,org.eclipse.gef.dnd.AbstractTransferDropTargetListener,getTargetRequest,org.eclipse.gef.dnd.AbstractTransferDropTargetListener,ArrayIndexOutOfBoundsException,,,DataException,,DelegatingDropAdapter.java,,,getTargetRequest
Birt,116180,TemplateTransferDropTargetListener.java,org.eclipse.gef.dnd.TemplateTransferDropTargetListener,getCreateRequest,org.eclipse.gef.dnd.TemplateTransferDropTargetListener,ArrayIndexOutOfBoundsException,,,ClassCastException,,DNDListener.java,,,getCreateRequest
Birt,116180,TemplateTransferDropTargetListener.java,org.eclipse.gef.dnd.TemplateTransferDropTargetListener,updateTargetRequest,org.eclipse.gef.dnd.TemplateTransferDropTargetListener,ArrayIndexOutOfBoundsException,,,UnsupportedOperationException,,EventTable.java,,,updateTargetRequest
Birt,116180,AbstractTransferDropTargetListener.java,org.eclipse.gef.dnd.AbstractTransferDropTargetListener,isEnabled,org.eclipse.gef.dnd.AbstractTransferDropTargetListener,ArrayIndexOutOfBoundsException,,,EvaluatorException,,Widget.java,,,isEnabled
Birt,116180,DelegatingDropAdapter.java,org.eclipse.jface.util.DelegatingDropAdapter,updateCurrentListener,org.eclipse.jface.util.DelegatingDropAdapter,ArrayIndexOutOfBoundsException,,,NumberFormatException,,DropTarget.java,,,updateCurrentListener
Birt,116180,DelegatingDropAdapter.java,org.eclipse.jface.util.DelegatingDropAdapter,drop,org.eclipse.jface.util.DelegatingDropAdapter,ArrayIndexOutOfBoundsException,,,Assert$AssertionFailedException,,Native Method,,,drop
Birt,116180,DNDListener.java,org.eclipse.swt.dnd.DNDListener,handleEvent,org.eclipse.swt.dnd.DNDListener,ArrayIndexOutOfBoundsException,,,IllegalArgumentException,,DragSource.java,,,handleEvent
Birt,116180,EventTable.java,org.eclipse.swt.widgets.EventTable,sendEvent,org.eclipse.swt.widgets.EventTable,ArrayIndexOutOfBoundsException,,,BirtException,,DragSource.java,,,sendEvent
Birt,116180,Widget.java,org.eclipse.swt.widgets.Widget,sendEvent,org.eclipse.swt.widgets.Widget,ArrayIndexOutOfBoundsException,,,EcmaError,,Display.java,,,sendEvent
Birt,116180,Widget.java,org.eclipse.swt.widgets.Widget,notifyListeners,org.eclipse.swt.widgets.Widget,ArrayIndexOutOfBoundsException,,,ReportServiceException,,Control.java,,,notifyListeners
Birt,116180,DropTarget.java,org.eclipse.swt.dnd.DropTarget,notifyListeners,org.eclipse.swt.dnd.DropTarget,ArrayIndexOutOfBoundsException,,,IndexOutOfBoundsException,,Workbench.java,,,notifyListeners
Birt,116180,DropTarget.java,org.eclipse.swt.dnd.DropTarget,dragReceiveHandler,org.eclipse.swt.dnd.DropTarget,ArrayIndexOutOfBoundsException,,,IllegalOperationException,,PlatformUI.java,,,dragReceiveHandler
Birt,116180,DropTarget.java,org.eclipse.swt.dnd.DropTarget,DragReceiveHandler,org.eclipse.swt.dnd.DropTarget,ArrayIndexOutOfBoundsException,,,NoClassDefFoundError,,IDEApplication.java,,,TrackDrag
Birt,116180,Native Method,org.eclipse.swt.internal.carbon.OS,TrackDrag,org.eclipse.swt.internal.carbon.OS,ArrayIndexOutOfBoundsException,,,ChartException,,PlatformActivator.java,,,drag
Birt,116180,DragSource.java,org.eclipse.swt.dnd.DragSource,drag,org.eclipse.swt.dnd.DragSource,ArrayIndexOutOfBoundsException,,,StringIndexOutOfBoundsException,,EclipseStarter.java,,,access$0
Birt,116180,DragSource.java,org.eclipse.swt.dnd.DragSource,access$0,org.eclipse.swt.dnd.DragSource,ArrayIndexOutOfBoundsException,,,CoreException,,Native Method,,,handleEvent
Birt,116180,DragSource.java,org.eclipse.swt.dnd.DragSource$1,handleEvent,org.eclipse.swt.dnd.DragSource$1,ArrayIndexOutOfBoundsException,,,AssertionFailedError,,NativeMethodAccessorImpl.java,,,dragDetect
Birt,116180,Display.java,org.eclipse.swt.widgets.Display,dragDetect,org.eclipse.swt.widgets.Display,ArrayIndexOutOfBoundsException,,,IOException,,DelegatingMethodAccessorImpl.java,,,kEventMouseDragged
Birt,116180,Control.java,org.eclipse.swt.widgets.Control,kEventMouseDragged,org.eclipse.swt.widgets.Control,ArrayIndexOutOfBoundsException,,,IllegalStateException,,Method.java,,,mouseProc
Birt,116180,Widget.java,org.eclipse.swt.widgets.Widget,mouseProc,org.eclipse.swt.widgets.Widget,ArrayIndexOutOfBoundsException,,,EmptyStackException,,Main.java,,,mouseProc
Birt,116180,Display.java,org.eclipse.swt.widgets.Display,mouseProc,org.eclipse.swt.widgets.Display,ArrayIndexOutOfBoundsException,,,ViewerException,,DND.java,,,SendEventToEventTarget
Birt,116180,Native Method,org.eclipse.swt.internal.carbon.OS,SendEventToEventTarget,org.eclipse.swt.internal.carbon.OS,ArrayIndexOutOfBoundsException,,,AssertionFailedException,,TextTransfer.java,,,readAndDispatch
Birt,116180,Display.java,org.eclipse.swt.widgets.Display,readAndDispatch,org.eclipse.swt.widgets.Display,ArrayIndexOutOfBoundsException,,,ClassNotFoundException,,Window.java,,,runEventLoop
Birt,116180,Workbench.java,org.eclipse.ui.internal.Workbench,runEventLoop,org.eclipse.ui.internal.Workbench,ArrayIndexOutOfBoundsException,,,PropertyNameException,,BaseDialog.java,,,runUI
Birt,116180,Workbench.java,org.eclipse.ui.internal.Workbench,runUI,org.eclipse.ui.internal.Workbench,ArrayIndexOutOfBoundsException,,,GUIException,,DataSetNodeProvider.java,,,createAndRunWorkbench
Birt,116180,Workbench.java,org.eclipse.ui.internal.Workbench,createAndRunWorkbench,org.eclipse.ui.internal.Workbench,ArrayIndexOutOfBoundsException,,,Error,,DefaultNodeProvider.java,,,createAndRunWorkbench
Birt,116180,PlatformUI.java,org.eclipse.ui.PlatformUI,createAndRunWorkbench,org.eclipse.ui.PlatformUI,ArrayIndexOutOfBoundsException,,,JspTranslationException,,EditAction.java,,,run
Birt,116180,IDEApplication.java,org.eclipse.ui.internal.ide.IDEApplication,run,org.eclipse.ui.internal.ide.IDEApplication,ArrayIndexOutOfBoundsException,,,AssertionError,,AbstractElementAction.java,,,run
Birt,116180,PlatformActivator.java,org.eclipse.core.internal.runtime.PlatformActivator$1,run,org.eclipse.core.internal.runtime.PlatformActivator$1,ArrayIndexOutOfBoundsException,,,AdapterException,,RenameListener.java,,,run
Birt,116180,EclipseStarter.java,org.eclipse.core.runtime.adaptor.EclipseStarter,run,org.eclipse.core.runtime.adaptor.EclipseStarter,ArrayIndexOutOfBoundsException,,,SAXParseException,,StructuredViewer.java,,,invoke0
Birt,116180,Native Method,sun.reflect.NativeMethodAccessorImpl,invoke0,sun.reflect.NativeMethodAccessorImpl,ArrayIndexOutOfBoundsException,,,InvalidExpressionError,,InternalPlatform.java,,,invoke
Birt,116180,NativeMethodAccessorImpl.java,sun.reflect.NativeMethodAccessorImpl,invoke,sun.reflect.NativeMethodAccessorImpl,ArrayIndexOutOfBoundsException,,,EngineException,,Platform.java,,,invoke
Birt,116180,DelegatingMethodAccessorImpl.java,sun.reflect.DelegatingMethodAccessorImpl,invoke,sun.reflect.DelegatingMethodAccessorImpl,ArrayIndexOutOfBoundsException,,,ScriptEvaluationError,,JFaceUtil.java,,,invoke
Birt,116180,Method.java,java.lang.reflect.Method,invoke,java.lang.reflect.Method,ArrayIndexOutOfBoundsException,,,OLAPException,,SafeRunnable.java,,,invokeFramework
Birt,116180,Main.java,org.eclipse.core.launcher.Main,invokeFramework,org.eclipse.core.launcher.Main,ArrayIndexOutOfBoundsException,,,ClassCircularityError,,StructuredViewer.java,,,basicRun
Birt,116180,Main.java,org.eclipse.core.launcher.Main,basicRun,org.eclipse.core.launcher.Main,ArrayIndexOutOfBoundsException,,,ReportQueryLoadingError,,StructuredViewer.java,,,run
Birt,116180,Main.java,org.eclipse.core.launcher.Main,run,org.eclipse.core.launcher.Main,ArrayIndexOutOfBoundsException,,,StackOverflowError,,OpenStrategy.java,,,main
Birt,116180,Main.java,org.eclipse.core.launcher.Main,main,org.eclipse.core.launcher.Main,ArrayIndexOutOfBoundsException,,,OdaException,,OpenStrategy.java,,,error
Birt,116355,DND.java,org.eclipse.swt.dnd.DND,error,org.eclipse.swt.dnd.DND,SQL Exception,,,RuntimeException,,Connection.java,,,javaToNative
Birt,116355,TextTransfer.java,org.eclipse.swt.dnd.TextTransfer,javaToNative,org.eclipse.swt.dnd.TextTransfer,SQL Exception,,,UnhandledScriptError,,DataSource.java,,,dragSendDataProc
Birt,116355,DragSource.java,org.eclipse.swt.dnd.DragSource,dragSendDataProc,org.eclipse.swt.dnd.DragSource,SQL Exception,,,SQLException,,DataSourceQuery.java,,,GetFlavorDataSize
Birt,116355,DragSource.java,org.eclipse.swt.dnd.DragSource,DragSendDataProc,org.eclipse.swt.dnd.DragSource,SQL Exception,,,SWTException,,PreparedExtendedDSQuery.java,,,runEventLoop
Birt,116355,Native Method,org.eclipse.swt.internal.carbon.OS,GetFlavorDataSize,org.eclipse.swt.internal.carbon.OS,SQL Exception,,,ParameterValidationException,,PreparedQuery.java,,,open
Birt,116355,DropTarget.java,org.eclipse.swt.dnd.DropTarget,dragReceiveHandler,org.eclipse.swt.dnd.DropTarget,SQL Exception,,,ScriptClassCastError,,PreparedQuery.java,,,open
Birt,116355,DropTarget.java,org.eclipse.swt.dnd.DropTarget,DragReceiveHandler,org.eclipse.swt.dnd.DropTarget,SQL Exception,,,JDBCException,,PreparedDataSourceQuery.java,,,performEdit
Birt,116355,Native Method,org.eclipse.swt.internal.carbon.OS,TrackDrag,org.eclipse.swt.internal.carbon.OS,SQL Exception,,,NegativeArraySizeException,,DataSetManager.java,,,performRequest
Birt,116355,DragSource.java,org.eclipse.swt.dnd.DragSource,drag,org.eclipse.swt.dnd.DragSource,SQL Exception,,,JavascriptCommonError,,DataViewTreeViewerPage.java,,,doAction
Birt,116355,DragSource.java,org.eclipse.swt.dnd.DragSource,access$0,org.eclipse.swt.dnd.DragSource,SQL Exception,,,NoSuchMethodError,,RunnableLock.java,,,run
Birt,116355,DragSource.java,org.eclipse.swt.dnd.DragSource$1,handleEvent,org.eclipse.swt.dnd.DragSource$1,SQL Exception,,,FileNotFoundException,,Synchronizer.java,,,doubleClick
Birt,116355,EventTable.java,org.eclipse.swt.widgets.EventTable,sendEvent,org.eclipse.swt.widgets.EventTable,SQL Exception,,,InterruptedException,,Statement.java,,,run
Birt,116355,Widget.java,org.eclipse.swt.widgets.Widget,sendEvent,org.eclipse.swt.widgets.Widget,SQL Exception,,,OutOfMemoryError,,OdaQuery.java,,,run
Birt,116355,Display.java,org.eclipse.swt.widgets.Display,dragDetect,org.eclipse.swt.widgets.Display,SQL Exception,,,MalformedURLException,,Util.java,,,run
Birt,116355,Control.java,org.eclipse.swt.widgets.Control,kEventMouseDragged,org.eclipse.swt.widgets.Control,SQL Exception,,,UTFDataFormatException,,TransactionResourceImpl.java,,,run
Birt,116355,Widget.java,org.eclipse.swt.widgets.Widget,mouseProc,org.eclipse.swt.widgets.Widget,SQL Exception,,,ThemeException,,EmbedConnection.java,,,run
Birt,116355,Display.java,org.eclipse.swt.widgets.Display,mouseProc,org.eclipse.swt.widgets.Display,SQL Exception,,,CrosstabException,,ConnectionChild.java,,,fireDoubleClick
Birt,116355,Native Method,org.eclipse.swt.internal.carbon.OS,SendEventToEventTarget,org.eclipse.swt.internal.carbon.OS,SQL Exception,,,ArithmeticException,,EmbedPreparedStatement.java,,,handleDoubleSelect
Birt,116355,Display.java,org.eclipse.swt.widgets.Display,readAndDispatch,org.eclipse.swt.widgets.Display,SQL Exception,,,BasicEList$BasicIndexOutOfBoundsException,,EmbedPreparedStatement20.java,,,widgetDefaultSelected
Birt,116355,Window.java,org.eclipse.jface.window.Window,runEventLoop,org.eclipse.jface.window.Window,SQL Exception,,,,,EmbedPreparedStatement30.java,,,fireDefaultSelectionEvent
Birt,116355,Window.java,org.eclipse.jface.window.Window,open,org.eclipse.jface.window.Window,SQL Exception,,,,,Driver30.java,,,access$0
Birt,116355,BaseDialog.java,org.eclipse.birt.report.designer.internal.ui.dialogs.BaseDialog,open,org.eclipse.birt.report.designer.internal.ui.dialogs.BaseDialog,SQL Exception,,,,,Unknown Source,,,handleEvent
