Project,BugID,Filename,Path,Method name,,Exception,Label,,Unique Exception,,Method name,Filename
Cassandra,CASSANDRA-1006,NumberFormatException.java,java.lang.NumberFormatException,forInputString,,NumberFormatException,,,NumberFormatException,,forInputString,NumberFormatException.java
Cassandra,CASSANDRA-1006,Integer.java,java.lang.Integer,parseInt,,NumberFormatException,,,RuntimeException,,parseInt,Integer.java
Cassandra,CASSANDRA-1006,FBUtilities.java,org.apache.cassandra.utils.FBUtilities,hexToBytes,,NumberFormatException,,,ConnectException,,hexToBytes,FBUtilities.java
Cassandra,CASSANDRA-1006,AbstractByteOrderedPartitioner.java,org.apache.cassandra.dht.AbstractByteOrderedPartitioner$1,fromString,,NumberFormatException,,,NullPointerException,,fromString,AbstractByteOrderedPartitioner.java
Cassandra,CASSANDRA-1006,BootStrapper.java,org.apache.cassandra.dht.BootStrapper$BootstrapTokenCallback,response,,NumberFormatException,,,AssertionError,,response,BootStrapper.java
Cassandra,CASSANDRA-1006,ResponseVerbHandler.java,org.apache.cassandra.net.ResponseVerbHandler,doVerb,,NumberFormatException,,,UnsupportedOperationException,,doVerb,ResponseVerbHandler.java
Cassandra,CASSANDRA-1006,MessageDeliveryTask.java,org.apache.cassandra.net.MessageDeliveryTask,run,,NumberFormatException,,,RejectedExecutionException,,run,MessageDeliveryTask.java
Cassandra,CASSANDRA-1006,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor,runWorker,,NumberFormatException,,,WriteTimeoutException,,runWorker,ThreadPoolExecutor.java
Cassandra,CASSANDRA-1006,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor$Worker,run,,NumberFormatException,,,OutOfMemoryError,,run,ThreadPoolExecutor.java
Cassandra,CASSANDRA-1006,Thread.java,java.lang.Thread,run,,NumberFormatException,,,NoSuchFileException,,run,Thread.java
Cassandra,CASSANDRA-1008,NumberFormatException.java,java.lang.NumberFormatException,forInputString,,NumberFormatException,,,IOException,,handleStateLeft,StorageService.java
Cassandra,CASSANDRA-1008,Integer.java,java.lang.Integer,parseInt,,NumberFormatException,,,ClassCastException,,onChange,Gossiper.java
Cassandra,CASSANDRA-1008,FBUtilities.java,org.apache.cassandra.utils.FBUtilities,hexToBytes,,NumberFormatException,,,ArrayIndexOutOfBoundsException,,doNotifications,Gossiper.java
Cassandra,CASSANDRA-1008,AbstractByteOrderedPartitioner.java,org.apache.cassandra.dht.AbstractByteOrderedPartitioner$1,fromString,,NumberFormatException,,,CommitLogReplayer$CommitLogReplayException,,applyApplicationStateLocally,TokenMetadata.java
Cassandra,CASSANDRA-1008,StorageService.java,org.apache.cassandra.service.StorageService,handleStateLeft,,NumberFormatException,,,SyntaxException,,applyStateLocally,Gossiper.java
Cassandra,CASSANDRA-1008,StorageService.java,org.apache.cassandra.service.StorageService,onChange,,NumberFormatException,,,IllegalStateException,,doVerb,WrappedRunnable.java
Cassandra,CASSANDRA-1008,Gossiper.java,org.apache.cassandra.gms.Gossiper,doNotifications,,NumberFormatException,,,ClassNotFoundException,,addBootstrapToken,Native Method
Cassandra,CASSANDRA-1008,Gossiper.java,org.apache.cassandra.gms.Gossiper,applyApplicationStateLocally,,NumberFormatException,,,IndexOutOfBoundsException,,handleStateBootstrap,SocketChannelImpl.java
Cassandra,CASSANDRA-1008,Gossiper.java,org.apache.cassandra.gms.Gossiper,applyStateLocally,,NumberFormatException,,,IllegalArgumentException,,doVerb,FileStreamTask.java
Cassandra,CASSANDRA-1008,Gossiper.java,org.apache.cassandra.gms.Gossiper$GossipDigestAckVerbHandler,doVerb,,NumberFormatException,,,SocketTimeoutException,,run,AbstractCollection.java
Cassandra,CASSANDRA-1008,MessageDeliveryTask.java,org.apache.cassandra.net.MessageDeliveryTask,run,,NumberFormatException,,,StackOverflowError,,runTask,Clustering.java
Cassandra,CASSANDRA-1008,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor,runWorker,,NumberFormatException,,,FSWriteError,,connect,CellPath.java
Cassandra,CASSANDRA-1008,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor$Worker,run,,NumberFormatException,,,LogTransaction$CorruptTransactionLogException,,connect,CollectionType.java
Cassandra,CASSANDRA-1008,Thread.java,java.lang.Thread,run,,NumberFormatException,,,ArithmeticException,,runMayThrow,BufferCell.java
Cassandra,CASSANDRA-1011,TokenMetadata.java,org.apache.cassandra.locator.TokenMetadata,addBootstrapToken,,RuntimeException,,,BindException,,addAll,UnfilteredSerializer.java
Cassandra,CASSANDRA-1011,StorageService.java,org.apache.cassandra.service.StorageService,handleStateBootstrap,,RuntimeException,,,InvalidRequestException,,serialize,ColumnIndex.java
Cassandra,CASSANDRA-1011,StorageService.java,org.apache.cassandra.service.StorageService,onChange,,RuntimeException,,,TimeoutException,,get,ColumnIndex.java
Cassandra,CASSANDRA-1011,Gossiper.java,org.apache.cassandra.gms.Gossiper,doNotifications,,RuntimeException,,,StreamException,,serializedSize,BigTableWriter.java
Cassandra,CASSANDRA-1011,Gossiper.java,org.apache.cassandra.gms.Gossiper,applyApplicationStateLocally,,RuntimeException,,,BadPaddingException,,serializedSize,SSTableRewriter.java
Cassandra,CASSANDRA-1011,Gossiper.java,org.apache.cassandra.gms.Gossiper,applyStateLocally,,RuntimeException,,,EOFException,,sizeOfComplexColumn,DefaultCompactionWriter.java
Cassandra,CASSANDRA-1011,Gossiper.java,org.apache.cassandra.gms.Gossiper$GossipDigestAck2VerbHandler,doVerb,,RuntimeException,,,ConcurrentModificationException,,serializedRowBodySize,CompactionAwareWriter.java
Cassandra,CASSANDRA-1011,MessageDeliveryTask.java,org.apache.cassandra.net.MessageDeliveryTask,run,,RuntimeException,,,SnappyError,,serialize,CompactionTask.java
Cassandra,CASSANDRA-1011,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor,runWorker,,RuntimeException,,,ClassCastExceptionException,,add,AbstractCompactionTask.java
Cassandra,CASSANDRA-1011,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor$Worker,run,,RuntimeException,,,JsonParseException,,build,CompactionManager.java
Cassandra,CASSANDRA-1011,Thread.java,java.lang.Thread,run,,RuntimeException,,,AssertionFailedError,,writeAndBuildIndex,CompactionManager.java
