Project,BugID,Filename,Path,Method name,,Exception,Label,,,Filename,,Method name,Exception
Hadoop,HADOOP-6172,URLClassLoader.java,java.net.URLClassLoader$1,run,,ClassNotFoundException,,,,URLClassLoader.java,,run,ClassNotFoundException
Hadoop,HADOOP-6172,Native Method,java.security.AccessController,doPrivileged,,ClassNotFoundException,,,,Native Method,,doPrivileged,AssertionFailedError
Hadoop,HADOOP-6172,URLClassLoader.java,java.net.URLClassLoader,findClass,,ClassNotFoundException,,,,URLClassLoader.java,,findClass,NullPointerException
Hadoop,HADOOP-6172,ClassLoader.java,java.lang.ClassLoader,loadClass,,ClassNotFoundException,,,,ClassLoader.java,,loadClass,NoSuchMethodException
Hadoop,HADOOP-6172,Launcher.java,sun.misc.Launcher$AppClassLoader,loadClass,,ClassNotFoundException,,,,Launcher.java,,loadClass,ClassCastException
Hadoop,HADOOP-6172,ClassLoader.java,java.lang.ClassLoader,loadClassInternal,,ClassNotFoundException,,,,TestLocalFileSystem.java,,loadClassInternal,NumberFormatException
Hadoop,HADOOP-6177,TestLocalFileSystem.java,org.apache.hadoop.fs.TestLocalFileSystem,readFile,,AssertionFailedError,,,,TestChecksumFileSystem.java,,readFile,Shell$ExitCodeException
Hadoop,HADOOP-6177,TestChecksumFileSystem.java,org.apache.hadoop.fs.TestChecksumFileSystem,testVerifyChecksum,,AssertionFailedError,,,,TestTrash.java,,testVerifyChecksum,IllegalArgumentException
Hadoop,HADOOP-6180,TestTrash.java,org.apache.hadoop.fs.TestTrash,countSameDeletedFiles,,NullPointerException,,,,TestHDFSTrash.java,,countSameDeletedFiles,SecurityException
Hadoop,HADOOP-6180,TestTrash.java,org.apache.hadoop.fs.TestTrash,trashShell,,NullPointerException,,,,TestDecorator.java,,trashShell,EOFException
Hadoop,HADOOP-6180,TestHDFSTrash.java,org.apache.hadoop.hdfs.TestHDFSTrash,testTrash,,NullPointerException,,,,TestSetup.java,,testTrash,SocketException
Hadoop,HADOOP-6180,TestDecorator.java,junit.extensions.TestDecorator,basicRun,,NullPointerException,,,,TestSetup.java,,basicRun,InterruptedException
Hadoop,HADOOP-6180,TestSetup.java,junit.extensions.TestSetup$1,protect,,NullPointerException,,,,Class.java,,protect,LoginException
Hadoop,HADOOP-6180,TestSetup.java,junit.extensions.TestSetup,run,,NullPointerException,,,,ProgramDriver.java,,run,NoSuchMethodError
Hadoop,HADOOP-6257,Class.java,java.lang.Class,getMethod,,NoSuchMethodException,,,,ProgramDriver.java,,getMethod,AssertionError
Hadoop,HADOOP-6257,ProgramDriver.java,org.apache.hadoop.util.ProgramDriver$ProgramDescription,<init>,,NoSuchMethodException,,,,HdfsWithMRTestDriver.java,,<init>,KrbException
Hadoop,HADOOP-6257,ProgramDriver.java,org.apache.hadoop.util.ProgramDriver,addClass,,NoSuchMethodException,,,,Native Method,,addClass,RuntimeException
Hadoop,HADOOP-6257,HdfsWithMRTestDriver.java,org.apache.hadoop.test.HdfsWithMRTestDriver,<init>,,NoSuchMethodException,,,,NativeMethodAccessorImpl.java,,<init>,FileNotFoundException
Hadoop,HADOOP-6257,HdfsWithMRTestDriver.java,org.apache.hadoop.test.HdfsWithMRTestDriver,main,,NoSuchMethodException,,,,DelegatingMethodAccessorImpl.java,,main,
Hadoop,HADOOP-6257,Native Method,sun.reflect.NativeMethodAccessorImpl,invoke0,,NoSuchMethodException,,,,Method.java,,invoke0,
Hadoop,HADOOP-6257,NativeMethodAccessorImpl.java,sun.reflect.NativeMethodAccessorImpl,invoke,,NoSuchMethodException,,,,RunJar.java,,invoke,
Hadoop,HADOOP-6257,DelegatingMethodAccessorImpl.java,sun.reflect.DelegatingMethodAccessorImpl,invoke,,NoSuchMethodException,,,,HtmlQuoting.java,,invoke,
Hadoop,HADOOP-6257,Method.java,java.lang.reflect.Method,invoke,,NoSuchMethodException,,,,HttpServer.java,,invoke,
Hadoop,HADOOP-6257,RunJar.java,org.apache.hadoop.util.RunJar,main,,NoSuchMethodException,,,,NamenodeJspHelper.java,,main,
Hadoop,HADOOP-6281,HtmlQuoting.java,org.apache.hadoop.http.HtmlQuoting,quoteHtmlChars,,ClassCastException,,,,dfshealth_jsp.java,,quoteHtmlChars,
Hadoop,HADOOP-6281,HttpServer.java,org.apache.hadoop.http.HttpServer$QuotingInputFilter$RequestQuoter,getParameter,,ClassCastException,,,,GetImageServlet.java,,getParameter,
Hadoop,HADOOP-6281,NamenodeJspHelper.java,org.apache.hadoop.hdfs.server.namenode.NamenodeJspHelper$HealthJsp,generateHealthReport,,ClassCastException,,,,HttpServlet.java,,generateHealthReport,
Hadoop,HADOOP-6281,dfshealth_jsp.java,org.apache.hadoop.hdfs.server.namenode.dfshealth_jsp,_jspService,,ClassCastException,,,,ServletHolder.java,,_jspService,
Hadoop,HADOOP-6281,HttpServer.java,org.apache.hadoop.http.HttpServer$QuotingInputFilter$RequestQuoter,getParameterMap,,ClassCastException,,,,ServletHandler.java,,getParameterMap,
Hadoop,HADOOP-6281,GetImageServlet.java,org.apache.hadoop.hdfs.server.namenode.GetImageServlet,doGet,,ClassCastException,,,,HttpServer.java,,doGet,
Hadoop,HADOOP-6281,HttpServlet.java,javax.servlet.http.HttpServlet,service,,ClassCastException,,,,ServletHandler.java,,service,
