Project,BugID,Filename,Path,Method name,,Exception,Label,,,Filename,,Method name,Exception
Hbase,HBASE-10,Native Method,java.net.PlainSocketImpl,socketAccept,,ConnectException,,,,Native Method,,socketAccept,ConnectException
Hbase,HBASE-10,PlainSocketImpl.java,java.net.PlainSocketImpl,accept,,ConnectException,,,,PlainSocketImpl.java,,accept,NullPointerException
Hbase,HBASE-10,ServerSocket.java,java.net.ServerSocket,implAccept,,ConnectException,,,,ServerSocket.java,,implAccept,AssertionError
Hbase,HBASE-10,ServerSocket.java,java.net.ServerSocket,accept,,ConnectException,,,,ThreadedServer.java,,accept,RemoteException
Hbase,HBASE-10,ThreadedServer.java,org.mortbay.util.ThreadedServer,acceptSocket,,ConnectException,,,,ThreadedServer.java,,acceptSocket,RegionOfflineException
Hbase,HBASE-10,ThreadedServer.java,org.mortbay.util.ThreadedServer$Acceptor,run,,ConnectException,,,,SocksSocketImpl.java,,run,HadoopIllegalArgumentException
Hbase,HBASE-10,Native Method,java.net.PlainSocketImpl,socketConnect,,ConnectException,,,,Socket.java,,socketConnect,IllegalAccessError
Hbase,HBASE-10,PlainSocketImpl.java,java.net.PlainSocketImpl,doConnect,,ConnectException,,,,SocketListener.java,,doConnect,ClassNotFoundException
Hbase,HBASE-10,PlainSocketImpl.java,java.net.PlainSocketImpl,connectToAddress,,ConnectException,,,,HttpServer.java,,connectToAddress,IOException
Hbase,HBASE-10,PlainSocketImpl.java,java.net.PlainSocketImpl,connect,,ConnectException,,,,Container.java,,connect,StringIndexOutOfBoundsException
Hbase,HBASE-10,SocksSocketImpl.java,java.net.SocksSocketImpl,connect,,ConnectException,,,,InfoServer.java,,connect,PKCS11Exception
Hbase,HBASE-10,Socket.java,java.net.Socket,connect,,ConnectException,,,,HRegionServer.java,,connect,ClosedChannelException
Hbase,HBASE-10,Socket.java,java.net.Socket,<init>,,ConnectException,,,,Thread.java,,<init>,IllegalArgumentException
Hbase,HBASE-10,ThreadedServer.java,org.mortbay.util.ThreadedServer$Acceptor,forceStop,,ConnectException,,,,Unknown Source,,forceStop,AssertionFailedError
Hbase,HBASE-10,ThreadedServer.java,org.mortbay.util.ThreadedServer,stop,,ConnectException,,,,Unknown Source,,stop,HBaseClient$FailedServerException
Hbase,HBASE-10,SocketListener.java,org.mortbay.http.SocketListener,stop,,ConnectException,,,,Unknown Source,,stop,KeeperException$SessionExpiredException
Hbase,HBASE-10,HttpServer.java,org.mortbay.http.HttpServer,doStop,,ConnectException,,,,Client.java,,doStop,CompilationFailureException
Hbase,HBASE-10,Container.java,org.mortbay.util.Container,stop,,ConnectException,,,,Client.java,,stop,NoSuchMethodError
Hbase,HBASE-10,InfoServer.java,org.apache.hadoop.hbase.util.InfoServer,stop,,ConnectException,,,,RPC.java,,stop,ArrayIndexOutOfBoundsException
Hbase,HBASE-10,HRegionServer.java,org.apache.hadoop.hbase.HRegionServer,run,,ConnectException,,,,Unknown Source,,run,IndexOutOfBoundsException
Hbase,HBASE-10,Thread.java,java.lang.Thread,run,,ConnectException,,,,Unknown Source,,run,RetriesExhaustedWithDetailsException
Hbase,HBASE-1000,Unknown Source,sun.nio.ch.SelectorImpl,lockAndDoSelect,,NullPointerException,,,,RetryInvocationHandler.java,,lockAndDoSelect,OutOfMemoryError
Hbase,HBASE-1000,Unknown Source,sun.nio.ch.SelectorImpl,selectNow,,NullPointerException,,,,DFSClient.java,,selectNow,CallerDisconnectedException
Hbase,HBASE-1000,Unknown Source,sun.nio.ch.Util,releaseTemporarySelector,,NullPointerException,,,,DistributedFileSystem.java,,releaseTemporarySelector,SaslException
Hbase,HBASE-1000,Unknown Source,sun.nio.ch.SocketAdaptor,connect,,NullPointerException,,,,HStore.java,,connect,EOFException
Hbase,HBASE-1000,Client.java,org.apache.hadoop.ipc.Client$Connection,setupIOstreams,,NullPointerException,,,,HRegion.java,,setupIOstreams,ConcurrentModificationException
Hbase,HBASE-1000,Client.java,org.apache.hadoop.ipc.Client$Connection,access$1700,,NullPointerException,,,,HRegionServer.java,,access$1700,URISyntaxException
Hbase,HBASE-1000,Client.java,org.apache.hadoop.ipc.Client,getConnection,,NullPointerException,,,,Chore.java,,getConnection,NegativeArraySizeException
