Project,BugID,Filename,Path,Method name,,Exception,Label,,Exception,,Filename,,Method name
JDT,100310,ModalContext.java,org.eclipse.jface.operation.ModalContext,run,,SWTException,,,SWTException,,ModalContext.java,,run
JDT,100310,ProgressMonitorDialog.java,org.eclipse.jface.dialogs.ProgressMonitorDialog,run,,SWTException,,,ClassCastException,,ProgressMonitorDialog.java,,run
JDT,100310,ProgressMonitorJobsDialog.java,org.eclipse.ui.internal.progress.ProgressMonitorJobsDialog,run,,SWTException,,,NullPointerException,,ProgressMonitorJobsDialog.java,,run
JDT,100310,ProgressManager.java,org.eclipse.ui.internal.progress.ProgressManager$3,run,,SWTException,,,CoreException,,ProgressManager.java,,run
JDT,100310,BusyIndicator.java,org.eclipse.swt.custom.BusyIndicator,showWhile,,SWTException,,,Assert$AssertionFailedException,,BusyIndicator.java,,showWhile
JDT,100310,ProgressManager.java,org.eclipse.ui.internal.progress.ProgressManager,busyCursorWhile,,SWTException,,,AssertionFailedError,,ProgressManager.java,,busyCursorWhile
JDT,100310,NewTestSuiteCreationWizard.java,org.eclipse.jdt.internal.junit.wizards.NewTestSuiteCreationWizard,performFinish,,SWTException,,,StackOverflowError,,NewTestSuiteCreationWizard.java,,performFinish
JDT,100310,WizardDialog.java,org.eclipse.jface.wizard.WizardDialog,finishPressed,,SWTException,,,ArrayIndexOutOfBoundsException,,WizardDialog.java,,finishPressed
JDT,100310,WizardDialog.java,org.eclipse.jface.wizard.WizardDialog,buttonPressed,,SWTException,,,IllegalArgumentException,,Dialog.java,,buttonPressed
JDT,100310,Dialog.java,org.eclipse.jface.dialogs.Dialog$2,widgetSelected,,SWTException,,,ResourceException,,TypedListener.java,,widgetSelected
JDT,100310,TypedListener.java,org.eclipse.swt.widgets.TypedListener,handleEvent,,SWTException,,,BadLocationException,,EventTable.java,,handleEvent
JDT,100310,EventTable.java,org.eclipse.swt.widgets.EventTable,sendEvent,,SWTException,,,IndexOutOfBoundsException,,Widget.java,,sendEvent
JDT,100310,Widget.java,org.eclipse.swt.widgets.Widget,sendEvent,,SWTException,,,DOMException,,Display.java,,sendEvent
JDT,100310,Display.java,org.eclipse.swt.widgets.Display,runDeferredEvents,,SWTException,,,IllegalStateException,,Window.java,,runDeferredEvents
JDT,100310,Display.java,org.eclipse.swt.widgets.Display,readAndDispatch,,SWTException,,,EmptyStackException,,NewWizardAction.java,,readAndDispatch
JDT,100310,Window.java,org.eclipse.jface.window.Window,runEventLoop,,SWTException,,,AssertionFailedException,,Action.java,,runEventLoop
JDT,100310,Window.java,org.eclipse.jface.window.Window,open,,SWTException,,,ArrayStoreException,,ActionContributionItem.java,,open
JDT,100310,NewWizardAction.java,org.eclipse.ui.actions.NewWizardAction,run,,SWTException,,,SWTError,,ActionContributionItem.java,,run
JDT,100310,Action.java,org.eclipse.jface.action.Action,runWithEvent,,SWTException,,,StringIndexOutOfBoundsException,,Workbench.java,,runWithEvent
JDT,100310,ActionContributionItem.java,org.eclipse.jface.action.ActionContributionItem,handleWidgetSelection,,SWTException,,,MalformedTreeException,,PlatformUI.java,,handleWidgetSelection
JDT,100310,ActionContributionItem.java,org.eclipse.jface.action.ActionContributionItem,access$2,,SWTException,,,MalformedInputException,,IDEApplication.java,,access$2
JDT,100310,ActionContributionItem.java,org.eclipse.jface.action.ActionContributionItem$5,handleEvent,,SWTException,,,ZipException,,PlatformActivator.java,,handleEvent
JDT,100310,Workbench.java,org.eclipse.ui.internal.Workbench,runEventLoop,,SWTException,,,AbstractBundle$BundleStatusException,,EclipseStarter.java,,runEventLoop
JDT,100310,Workbench.java,org.eclipse.ui.internal.Workbench,runUI,,SWTException,,,SAXParseException,,Native Method,,runUI
JDT,100310,Workbench.java,org.eclipse.ui.internal.Workbench,createAndRunWorkbench,,SWTException,,,FileNotFoundException,,NativeMethodAccessorImpl.java,,createAndRunWorkbench
JDT,100310,PlatformUI.java,org.eclipse.ui.PlatformUI,createAndRunWorkbench,,SWTException,,,URISyntaxException,,DelegatingMethodAccessorImpl.java,,createAndRunWorkbench
JDT,100310,IDEApplication.java,org.eclipse.ui.internal.ide.IDEApplication,run,,SWTException,,,UnsupportedOperationException,,Method.java,,run
JDT,100310,PlatformActivator.java,org.eclipse.core.internal.runtime.PlatformActivator$1,run,,SWTException,,,ClassNotFoundException,,Main.java,,run
JDT,100310,EclipseStarter.java,org.eclipse.core.runtime.adaptor.EclipseStarter,run,,SWTException,,,IOException,,SWT.java,,run
JDT,100310,Native Method,sun.reflect.NativeMethodAccessorImpl,invoke0,,SWTException,,,InvalidInputException,,StyledText.java,,invoke0
JDT,100310,NativeMethodAccessorImpl.java,sun.reflect.NativeMethodAccessorImpl,invoke,,SWTException,,,PartInitException,,TextViewer.java,,invoke
JDT,100310,DelegatingMethodAccessorImpl.java,sun.reflect.DelegatingMethodAccessorImpl,invoke,,SWTException,,,ConcurrentModificationException,,AbstractTextEditor.java,,invoke
JDT,100310,Method.java,java.lang.reflect.Method,invoke,,SWTException,,,NoSuchElementException,,CompilationUnitEditor.java,,invoke
JDT,100310,Main.java,org.eclipse.core.launcher.Main,invokeFramework,,SWTException,,,InvocationTargetException,,NewTestSuiteCreationWizard.java,,invokeFramework
JDT,100310,Main.java,org.eclipse.core.launcher.Main,basicRun,,SWTException,,,Java Model Exception,,OverrideCompletionProposal.java,,basicRun
JDT,100310,Main.java,org.eclipse.core.launcher.Main,run,,SWTException,,,ArithmeticException,,JavaTypeCompletionProposal.java,,run
JDT,100310,Main.java,org.eclipse.core.launcher.Main,main,,SWTException,,,NoClassDefFoundError,,JavaCompletionProposal.java,,main
JDT,100310,SWT.java,org.eclipse.swt.SWT,error,,SWTException,,,OperationCanceledException,,CompletionProposalPopup.java,,error
JDT,100310,Widget.java,org.eclipse.swt.widgets.Widget,error,,SWTException,,,RuntimeException,,CompletionProposalPopup.java,,error
JDT,100310,Widget.java,org.eclipse.swt.widgets.Widget,checkWidget,,SWTException,,,EOFException,,AbstractDocument.java,,checkWidget
JDT,100310,StyledText.java,org.eclipse.swt.custom.StyledText,setEditable,,SWTException,,,AbstractMethodError,,AnnotationModel.java,,setEditable
JDT,100310,TextViewer.java,org.eclipse.jface.text.TextViewer,setEditable,,SWTException,,,,,DefaultJavaFoldingStructureProvider.java,,setEditable
JDT,100310,AbstractTextEditor.java,org.eclipse.ui.texteditor.AbstractTextEditor,updateState,,SWTException,,,,,ProjectionViewer.java,,updateState
JDT,100310,CompilationUnitEditor.java,org.eclipse.jdt.internal.ui.javaeditor.CompilationUnitEditor,doSave,,SWTException,,,,,JavaSourceViewer.java,,doSave
JDT,100310,NewTestSuiteCreationWizard.java,org.eclipse.jdt.internal.junit.wizards.NewTestSuiteCreationWizard$1,run,,SWTException,,,,,SourceViewer.java,,run
JDT,100868,OverrideCompletionProposal.java,org.eclipse.jdt.internal.ui.text.java.OverrideCompletionProposal,updateReplacementString,,ClassCastException,,,,,StatusTextEditor.java,,updateReplacementString
JDT,100868,JavaTypeCompletionProposal.java,org.eclipse.jdt.internal.ui.text.java.JavaTypeCompletionProposal,apply,,ClassCastException,,,,,AbstractDecoratedTextEditor.java,,apply
JDT,100868,JavaCompletionProposal.java,org.eclipse.jdt.internal.ui.text.java.JavaCompletionProposal,apply,,ClassCastException,,,,,JavaEditor.java,,apply
JDT,100868,CompletionProposalPopup.java,org.eclipse.jface.text.contentassist.CompletionProposalPopup,insertProposal,,ClassCastException,,,,,ClassFileEditor.java,,insertProposal
JDT,100868,CompletionProposalPopup.java,org.eclipse.jface.text.contentassist.CompletionProposalPopup,insertSelectedProposalWithMask,,ClassCastException,,,,,EditorReference.java,,insertSelectedProposalWithMask
JDT,100868,CompletionProposalPopup.java,org.eclipse.jface.text.contentassist.CompletionProposalPopup,access$23,,ClassCastException,,,,,WorkbenchPartReference.java,,access$23
JDT,100868,CompletionProposalPopup.java,org.eclipse.jface.text.contentassist.CompletionProposalPopup$5,widgetDefaultSelected,,ClassCastException,,,,,WorkbenchPage.java,,widgetDefaultSelected
JDT,100868,TypedListener.java,org.eclipse.swt.widgets.TypedListener,handleEvent,,ClassCastException,,,,,WorkbenchPage.java,,computeIndexInPositionList
JDT,100868,EventTable.java,org.eclipse.swt.widgets.EventTable,sendEvent,,ClassCastException,,,,,EditorUtility.java,,addPosition
JDT,100868,Widget.java,org.eclipse.swt.widgets.Widget,sendEvent,,ClassCastException,,,,,OpenActionUtil.java,,addPosition
JDT,100868,Display.java,org.eclipse.swt.widgets.Display,runDeferredEvents,,ClassCastException,,,,,OpenAction.java,,addAnnotation
JDT,100868,Display.java,org.eclipse.swt.widgets.Display,readAndDispatch,,ClassCastException,,,,,SelectionDispatchAction.java,,replaceAnnotations
JDT,100868,Workbench.java,org.eclipse.ui.internal.Workbench,runEventLoop,,ClassCastException,,,,,JavaElementHyperlink.java,,initialize
JDT,100868,Workbench.java,org.eclipse.ui.internal.Workbench,runUI,,ClassCastException,,,,,HyperlinkManager.java,,projectionEnabled
JDT,100868,Workbench.java,org.eclipse.ui.internal.Workbench,createAndRunWorkbench,,ClassCastException,,,,,Generator.java,,fireProjectionEnabled
JDT,100868,PlatformUI.java,org.eclipse.ui.PlatformUI,createAndRunWorkbench,,ClassCastException,,,,,PostCheckOperation.java,,enableProjection
JDT,100868,IDEApplication.java,org.eclipse.ui.internal.ide.IDEApplication,run,,ClassCastException,,,,,DeferredTreeContentManager.java,,setVisibleDocument
JDT,100868,PlatformActivator.java,org.eclipse.core.internal.runtime.PlatformActivator$1,run,,ClassCastException,,,,,JobManager.java,,setDocument
JDT,100868,EclipseStarter.java,org.eclipse.core.runtime.adaptor.EclipseStarter,run,,ClassCastException,,,,,DeferredTreeContentManager.java,,setDocument
JDT,100868,Native Method,sun.reflect.NativeMethodAccessorImpl,invoke0,,ClassCastException,,,,,CallHierarchyContentProvider.java,,setDocument
JDT,100868,NativeMethodAccessorImpl.java,sun.reflect.NativeMethodAccessorImpl,invoke,,ClassCastException,,,,,CallHierarchyViewer.java,,initializeSourceViewer
JDT,100868,DelegatingMethodAccessorImpl.java,sun.reflect.DelegatingMethodAccessorImpl,invoke,,ClassCastException,,,,,CallHierarchyViewPart.java,,createPartControl
JDT,100868,Method.java,java.lang.reflect.Method,invoke,,ClassCastException,,,,,CancelSearchAction.java,,createPartControl
JDT,100868,Main.java,org.eclipse.core.launcher.Main,invokeFramework,,ClassCastException,,,,,ActionContributionItem.java,,createPartControl
JDT,100868,Main.java,org.eclipse.core.launcher.Main,basicRun,,ClassCastException,,,,,Assert.java,,createPartControl
