Project,BugID,Filename,Method name,Path,Exception,Label
Hadoop,HADOOP-6172,URLClassLoader.java,run,java.net.URLClassLoader$1,ClassNotFoundException,Misleading
Hadoop,HADOOP-6172,Native Method,doPrivileged,java.security.AccessController,ClassNotFoundException,Misleading
Hadoop,HADOOP-6172,URLClassLoader.java,findClass,java.net.URLClassLoader,ClassNotFoundException,Misleading
Hadoop,HADOOP-6172,ClassLoader.java,loadClass,java.lang.ClassLoader,ClassNotFoundException,Misleading
Hadoop,HADOOP-6172,Launcher.java,loadClass,sun.misc.Launcher$AppClassLoader,ClassNotFoundException,Misleading
Hadoop,HADOOP-6172,ClassLoader.java,loadClassInternal,java.lang.ClassLoader,ClassNotFoundException,Misleading
Hadoop,HADOOP-6177,TestLocalFileSystem.java,readFile,org.apache.hadoop.fs.TestLocalFileSystem,AssertionFailedError,Helpful
Hadoop,HADOOP-6177,TestChecksumFileSystem.java,testVerifyChecksum,org.apache.hadoop.fs.TestChecksumFileSystem,AssertionFailedError,Helpful
Hadoop,HADOOP-6180,TestTrash.java,countSameDeletedFiles,org.apache.hadoop.fs.TestTrash,NullPointerException,Helpful
Hadoop,HADOOP-6180,TestTrash.java,trashShell,org.apache.hadoop.fs.TestTrash,NullPointerException,Helpful
Hadoop,HADOOP-6180,TestHDFSTrash.java,testTrash,org.apache.hadoop.hdfs.TestHDFSTrash,NullPointerException,Helpful
Hadoop,HADOOP-6180,TestDecorator.java,basicRun,junit.extensions.TestDecorator,NullPointerException,Helpful
Hadoop,HADOOP-6180,TestSetup.java,protect,junit.extensions.TestSetup$1,NullPointerException,Helpful
Hadoop,HADOOP-6180,TestSetup.java,run,junit.extensions.TestSetup,NullPointerException,Helpful
Hadoop,HADOOP-6257,Class.java,getMethod,java.lang.Class,NoSuchMethodException,Misleading
Hadoop,HADOOP-6257,ProgramDriver.java,<init>,org.apache.hadoop.util.ProgramDriver$ProgramDescription,NoSuchMethodException,Misleading
Hadoop,HADOOP-6257,ProgramDriver.java,addClass,org.apache.hadoop.util.ProgramDriver,NoSuchMethodException,Misleading
Hadoop,HADOOP-6257,HdfsWithMRTestDriver.java,<init>,org.apache.hadoop.test.HdfsWithMRTestDriver,NoSuchMethodException,Misleading
Hadoop,HADOOP-6257,HdfsWithMRTestDriver.java,main,org.apache.hadoop.test.HdfsWithMRTestDriver,NoSuchMethodException,Misleading
Hadoop,HADOOP-6257,Native Method,invoke0,sun.reflect.NativeMethodAccessorImpl,NoSuchMethodException,Misleading
Hadoop,HADOOP-6257,NativeMethodAccessorImpl.java,invoke,sun.reflect.NativeMethodAccessorImpl,NoSuchMethodException,Misleading
Hadoop,HADOOP-6257,DelegatingMethodAccessorImpl.java,invoke,sun.reflect.DelegatingMethodAccessorImpl,NoSuchMethodException,Misleading
Hadoop,HADOOP-6257,Method.java,invoke,java.lang.reflect.Method,NoSuchMethodException,Misleading
Hadoop,HADOOP-6257,RunJar.java,main,org.apache.hadoop.util.RunJar,NoSuchMethodException,Misleading
Hadoop,HADOOP-6281,HtmlQuoting.java,quoteHtmlChars,org.apache.hadoop.http.HtmlQuoting,ClassCastException,Helpful
Hadoop,HADOOP-6281,HttpServer.java,getParameter,org.apache.hadoop.http.HttpServer$QuotingInputFilter$RequestQuoter,ClassCastException,Helpful
Hadoop,HADOOP-6281,NamenodeJspHelper.java,generateHealthReport,org.apache.hadoop.hdfs.server.namenode.NamenodeJspHelper$HealthJsp,ClassCastException,Helpful
Hadoop,HADOOP-6281,dfshealth_jsp.java,_jspService,org.apache.hadoop.hdfs.server.namenode.dfshealth_jsp,ClassCastException,Helpful
Hadoop,HADOOP-6281,HttpServer.java,getParameterMap,org.apache.hadoop.http.HttpServer$QuotingInputFilter$RequestQuoter,ClassCastException,Helpful
Hadoop,HADOOP-6281,GetImageServlet.java,doGet,org.apache.hadoop.hdfs.server.namenode.GetImageServlet,ClassCastException,Helpful
Hadoop,HADOOP-6281,HttpServlet.java,service,javax.servlet.http.HttpServlet,ClassCastException,Helpful
Hadoop,HADOOP-6281,ServletHolder.java,handle,org.mortbay.jetty.servlet.ServletHolder,ClassCastException,Helpful
Hadoop,HADOOP-6281,ServletHandler.java,doFilter,org.mortbay.jetty.servlet.ServletHandler$CachedChain,ClassCastException,Helpful
Hadoop,HADOOP-6281,HttpServer.java,doFilter,org.apache.hadoop.http.HttpServer$QuotingInputFilter,ClassCastException,Helpful
Hadoop,HADOOP-6281,ServletHandler.java,handle,org.mortbay.jetty.servlet.ServletHandler,ClassCastException,Helpful
Hadoop,HADOOP-6281,SecurityHandler.java,handle,org.mortbay.jetty.security.SecurityHandler,ClassCastException,Helpful
Hadoop,HADOOP-6281,SessionHandler.java,handle,org.mortbay.jetty.servlet.SessionHandler,ClassCastException,Helpful
Hadoop,HADOOP-6281,ContextHandler.java,handle,org.mortbay.jetty.handler.ContextHandler,ClassCastException,Helpful
Hadoop,HADOOP-6281,WebAppContext.java,handle,org.mortbay.jetty.webapp.WebAppContext,ClassCastException,Helpful
Hadoop,HADOOP-6281,ContextHandlerCollection.java,handle,org.mortbay.jetty.handler.ContextHandlerCollection,ClassCastException,Helpful
Hadoop,HADOOP-6281,HandlerWrapper.java,handle,org.mortbay.jetty.handler.HandlerWrapper,ClassCastException,Helpful
Hadoop,HADOOP-6281,Server.java,handle,org.mortbay.jetty.Server,ClassCastException,Helpful
Hadoop,HADOOP-6281,HttpConnection.java,handleRequest,org.mortbay.jetty.HttpConnection,ClassCastException,Helpful
Hadoop,HADOOP-6281,HttpConnection.java,headerComplete,org.mortbay.jetty.HttpConnection$RequestHandler,ClassCastException,Helpful
Hadoop,HADOOP-6281,HttpParser.java,parseNext,org.mortbay.jetty.HttpParser,ClassCastException,Helpful
Hadoop,HADOOP-6281,HttpParser.java,parseAvailable,org.mortbay.jetty.HttpParser,ClassCastException,Helpful
Hadoop,HADOOP-6281,HttpConnection.java,handle,org.mortbay.jetty.HttpConnection,ClassCastException,Helpful
Hadoop,HADOOP-6281,SelectChannelEndPoint.java,run,org.mortbay.io.nio.SelectChannelEndPoint,ClassCastException,Helpful
Hadoop,HADOOP-6281,QueuedThreadPool.java,run,org.mortbay.thread.QueuedThreadPool$PoolThread,ClassCastException,Helpful
Hadoop,HADOOP-6283,NumberFormatException.java,forInputString,java.lang.NumberFormatException,NumberFormatException,Helpful
Hadoop,HADOOP-6283,Integer.java,parseInt,java.lang.Integer,NumberFormatException,Helpful
