Project,BugID,Filename,Method name,Path,Exception,Label
Spring,SPR-10070,StaticLoggerBinder.java,<init>,org.slf4j.impl.StaticLoggerBinder,IllegalStateException,Misleading
Spring,SPR-10070,StaticLoggerBinder.java,<clinit>,org.slf4j.impl.StaticLoggerBinder,IllegalStateException,Misleading
Spring,SPR-10070,LoggerFactory.java,bind,org.slf4j.LoggerFactory,IllegalStateException,Misleading
Spring,SPR-10070,LoggerFactory.java,performInitialization,org.slf4j.LoggerFactory,IllegalStateException,Misleading
Spring,SPR-10070,LoggerFactory.java,getILoggerFactory,org.slf4j.LoggerFactory,IllegalStateException,Misleading
Spring,SPR-10070,LoggerFactory.java,getLogger,org.slf4j.LoggerFactory,IllegalStateException,Misleading
Spring,SPR-10070,SLF4JLogFactory.java,getInstance,org.apache.commons.logging.impl.SLF4JLogFactory,IllegalStateException,Misleading
Spring,SPR-10070,LogFactory.java,getLog,org.apache.commons.logging.LogFactory,IllegalStateException,Misleading
Spring,SPR-10070,SpringJUnit4ClassRunner.java,<clinit>,org.springframework.test.context.junit4.SpringJUnit4ClassRunner,IllegalStateException,Misleading
Spring,SPR-10070,Native Method,newInstance0,sun.reflect.NativeConstructorAccessorImpl,IllegalStateException,Misleading
Spring,SPR-10070,NativeConstructorAccessorImpl.java,newInstance,sun.reflect.NativeConstructorAccessorImpl,IllegalStateException,Misleading
Spring,SPR-10070,DelegatingConstructorAccessorImpl.java,newInstance,sun.reflect.DelegatingConstructorAccessorImpl,IllegalStateException,Misleading
Spring,SPR-10070,Constructor.java,newInstance,java.lang.reflect.Constructor,IllegalStateException,Misleading
Spring,SPR-10070,AnnotatedBuilder.java,buildRunner,org.junit.internal.builders.AnnotatedBuilder,IllegalStateException,Misleading
Spring,SPR-10070,AnnotatedBuilder.java,runnerForClass,org.junit.internal.builders.AnnotatedBuilder,IllegalStateException,Misleading
Spring,SPR-10070,RunnerBuilder.java,safeRunnerForClass,org.junit.runners.model.RunnerBuilder,IllegalStateException,Misleading
Spring,SPR-10070,AllDefaultPossibilitiesBuilder.java,runnerForClass,org.junit.internal.builders.AllDefaultPossibilitiesBuilder,IllegalStateException,Misleading
Spring,SPR-10070,ClassRequest.java,getRunner,org.junit.internal.requests.ClassRequest,IllegalStateException,Misleading
Spring,SPR-10070,JUnit4TestReference.java,<init>,org.eclipse.jdt.internal.junit4.runner.JUnit4TestReference,IllegalStateException,Misleading
Spring,SPR-10070,JUnit4TestClassReference.java,<init>,org.eclipse.jdt.internal.junit4.runner.JUnit4TestClassReference,IllegalStateException,Misleading
Spring,SPR-10070,JUnit4TestLoader.java,createTest,org.eclipse.jdt.internal.junit4.runner.JUnit4TestLoader,IllegalStateException,Misleading
Spring,SPR-10070,JUnit4TestLoader.java,loadTests,org.eclipse.jdt.internal.junit4.runner.JUnit4TestLoader,IllegalStateException,Misleading
Spring,SPR-10070,RemoteTestRunner.java,runTests,org.eclipse.jdt.internal.junit.runner.RemoteTestRunner,IllegalStateException,Misleading
Spring,SPR-10070,RemoteTestRunner.java,run,org.eclipse.jdt.internal.junit.runner.RemoteTestRunner,IllegalStateException,Misleading
Spring,SPR-10070,RemoteTestRunner.java,main,org.eclipse.jdt.internal.junit.runner.RemoteTestRunner,IllegalStateException,Misleading
Spring,SPR-10070,JCLLoggerFactory.java,<clinit>,org.slf4j.impl.JCLLoggerFactory,IllegalStateException,Misleading
Spring,SPR-10107,DefaultListableBeanFactory.java,doResolveDependency,org.springframework.beans.factory.support.DefaultListableBeanFactory,NoSuchBeanDefinitionException,Misleading
Spring,SPR-10107,DefaultListableBeanFactory.java,resolveDependency,org.springframework.beans.factory.support.DefaultListableBeanFactory,NoSuchBeanDefinitionException,Misleading
Spring,SPR-10107,AutowiredAnnotationBeanPostProcessor.java,inject,org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$AutowiredFieldElement,NoSuchBeanDefinitionException,Misleading
Spring,SPR-10115,BeanWrapperImpl.java,setPropertyValue,org.springframework.beans.BeanWrapperImpl,NotWritablePropertyException,Misleading
