Project,BugID,Filename,Method name,Path,Exception,Label
AspectJ,100227,EclipseFactory.java,fromBinding,org.aspectj.ajdt.internal.compiler.lookup.EclipseFactory,NullPointerException,Helpful
AspectJ,100227,InterTypeFieldDeclaration.java,build,org.aspectj.ajdt.internal.compiler.ast.InterTypeFieldDeclaration,NullPointerException,Helpful
AspectJ,100227,AspectDeclaration.java,buildInterTypeAndPerClause,org.aspectj.ajdt.internal.compiler.ast.AspectDeclaration,NullPointerException,Helpful
AspectJ,100227,AjLookupEnvironment.java,buildInterTypeAndPerClause,org.aspectj.ajdt.internal.compiler.lookup.AjLookupEnvironment,NullPointerException,Helpful
AspectJ,100227,AjLookupEnvironment.java,completeTypeBindings,org.aspectj.ajdt.internal.compiler.lookup.AjLookupEnvironment,NullPointerException,Helpful
AspectJ,100227,Compiler.java,beginToCompile,org.aspectj.org.eclipse.jdt.internal.compiler.Compiler,NullPointerException,Helpful
AspectJ,100227,Compiler.java,compile,org.aspectj.org.eclipse.jdt.internal.compiler.Compiler,NullPointerException,Helpful
AspectJ,101407,AbstractEditPart.java,getRoot,org.eclipse.gef.editparts.AbstractEditPart,NullPointerException,Misleading
AspectJ,101407,AbstractEditPart.java,getViewer,org.eclipse.gef.editparts.AbstractEditPart,NullPointerException,Misleading
AspectJ,101407,TableUtil.java,getSelectionCells,org.eclipse.birt.report.designer.internal.ui.editors.schematic.editparts.TableUtil,NullPointerException,Misleading
AspectJ,101407,TableEditPart.java,canMerge,org.eclipse.birt.report.designer.internal.ui.editors.schematic.editparts.TableEditPart,NullPointerException,Misleading
AspectJ,101407,MergeAction.java,calculateEnabled,org.eclipse.birt.report.designer.internal.ui.editors.schematic.actions.MergeAction,NullPointerException,Misleading
AspectJ,101407,WorkbenchPartAction.java,isEnabled,org.eclipse.gef.ui.actions.WorkbenchPartAction,NullPointerException,Misleading
AspectJ,101407,RetargetAction.java,setActionHandler,org.eclipse.ui.actions.RetargetAction,NullPointerException,Misleading
AspectJ,101407,RetargetAction.java,partActivated,org.eclipse.ui.actions.RetargetAction,NullPointerException,Misleading
AspectJ,101407,PartListenerList.java,run,org.eclipse.ui.internal.PartListenerList$1,NullPointerException,Misleading
AspectJ,101407,InternalPlatform.java,run,org.eclipse.core.internal.runtime.InternalPlatform,NullPointerException,Misleading
AspectJ,101407,Platform.java,run,org.eclipse.core.runtime.Platform,NullPointerException,Misleading
AspectJ,101407,PartListenerList.java,firePartActivated,org.eclipse.ui.internal.PartListenerList,NullPointerException,Misleading
AspectJ,101407,WorkbenchPage.java,firePartActivated,org.eclipse.ui.internal.WorkbenchPage,NullPointerException,Misleading
AspectJ,101407,WorkbenchPage.java,setActivePart,org.eclipse.ui.internal.WorkbenchPage,NullPointerException,Misleading
AspectJ,101407,WorkbenchPage.java,requestActivation,org.eclipse.ui.internal.WorkbenchPage,NullPointerException,Misleading
AspectJ,101407,PartPane.java,requestActivation,org.eclipse.ui.internal.PartPane,NullPointerException,Misleading
AspectJ,101407,EditorPane.java,requestActivation,org.eclipse.ui.internal.EditorPane,NullPointerException,Misleading
AspectJ,101407,PartPane.java,handleEvent,org.eclipse.ui.internal.PartPane,NullPointerException,Misleading
AspectJ,101407,EventTable.java,sendEvent,org.eclipse.swt.widgets.EventTable,NullPointerException,Misleading
AspectJ,101407,Widget.java,sendEvent,org.eclipse.swt.widgets.Widget,NullPointerException,Misleading
AspectJ,101407,Shell.java,setActiveControl,org.eclipse.swt.widgets.Shell,NullPointerException,Misleading
AspectJ,101407,Control.java,sendFocusEvent,org.eclipse.swt.widgets.Control,NullPointerException,Misleading
AspectJ,101407,Control.java,WM_SETFOCUS,org.eclipse.swt.widgets.Control,NullPointerException,Misleading
AspectJ,101407,Canvas.java,WM_SETFOCUS,org.eclipse.swt.widgets.Canvas,NullPointerException,Misleading
AspectJ,101407,Control.java,windowProc,org.eclipse.swt.widgets.Control,NullPointerException,Misleading
AspectJ,101407,Display.java,windowProc,org.eclipse.swt.widgets.Display,NullPointerException,Misleading
AspectJ,101407,Native Method,SetFocus,org.eclipse.swt.internal.win32.OS,NullPointerException,Misleading
AspectJ,101407,Control.java,forceFocus,org.eclipse.swt.widgets.Control,NullPointerException,Misleading
AspectJ,101407,Control.java,setFocus,org.eclipse.swt.widgets.Control,NullPointerException,Misleading
AspectJ,101407,Composite.java,setFocus,org.eclipse.swt.widgets.Composite,NullPointerException,Misleading
AspectJ,101407,GraphicalEditor.java,setFocus,org.eclipse.gef.ui.parts.GraphicalEditor,NullPointerException,Misleading
AspectJ,101407,MultiPageEditorPart.java,setFocus,org.eclipse.ui.part.MultiPageEditorPart,NullPointerException,Misleading
AspectJ,101407,MultiPageEditorPart.java,pageChange,org.eclipse.ui.part.MultiPageEditorPart,NullPointerException,Misleading
AspectJ,101407,ReportEditor.java,pageChange,org.eclipse.birt.report.designer.ui.editors.ReportEditor,NullPointerException,Misleading
AspectJ,101407,ReportEditor.java,rebuildReportDesign,org.eclipse.birt.report.designer.ui.editors.ReportEditor,NullPointerException,Misleading
AspectJ,101407,ReportEditor.java,setInput,org.eclipse.birt.report.designer.ui.editors.ReportEditor,NullPointerException,Misleading
AspectJ,101407,ReportEditor.java,performSaveAs,org.eclipse.birt.report.designer.ui.editors.ReportEditor,NullPointerException,Misleading
AspectJ,101407,ReportEditor.java,doSaveAs,org.eclipse.birt.report.designer.ui.editors.ReportEditor,NullPointerException,Misleading
AspectJ,101407,SaveAsAction.java,run,org.eclipse.ui.internal.SaveAsAction,NullPointerException,Misleading
AspectJ,101407,Action.java,runWithEvent,org.eclipse.jface.action.Action,NullPointerException,Misleading
AspectJ,101407,ActionContributionItem.java,handleWidgetSelection,org.eclipse.jface.action.ActionContributionItem,NullPointerException,Misleading
AspectJ,101407,ActionContributionItem.java,access$2,org.eclipse.jface.action.ActionContributionItem,NullPointerException,Misleading
AspectJ,101407,ActionContributionItem.java,handleEvent,org.eclipse.jface.action.ActionContributionItem$7,NullPointerException,Misleading
AspectJ,101407,Display.java,runDeferredEvents,org.eclipse.swt.widgets.Display,NullPointerException,Misleading
AspectJ,101407,Display.java,readAndDispatch,org.eclipse.swt.widgets.Display,NullPointerException,Misleading
AspectJ,101407,Workbench.java,runEventLoop,org.eclipse.ui.internal.Workbench,NullPointerException,Misleading
AspectJ,101407,Workbench.java,runUI,org.eclipse.ui.internal.Workbench,NullPointerException,Misleading
AspectJ,101407,Workbench.java,createAndRunWorkbench,org.eclipse.ui.internal.Workbench,NullPointerException,Misleading
AspectJ,101407,PlatformUI.java,createAndRunWorkbench,org.eclipse.ui.PlatformUI,NullPointerException,Misleading
AspectJ,101407,IDEApplication.java,run,org.eclipse.ui.internal.ide.IDEApplication,NullPointerException,Misleading
AspectJ,101407,PlatformActivator.java,run,org.eclipse.core.internal.runtime.PlatformActivator$1,NullPointerException,Misleading
AspectJ,101407,EclipseStarter.java,run,org.eclipse.core.runtime.adaptor.EclipseStarter,NullPointerException,Misleading
AspectJ,101407,Native Method,invoke0,sun.reflect.NativeMethodAccessorImpl,NullPointerException,Misleading
AspectJ,101407,NativeMethodAccessorImpl.java,invoke,sun.reflect.NativeMethodAccessorImpl,NullPointerException,Misleading
AspectJ,101407,DelegatingMethodAccessorImpl.java,invoke,sun.reflect.DelegatingMethodAccessorImpl,NullPointerException,Misleading
AspectJ,101407,Method.java,invoke,java.lang.reflect.Method,NullPointerException,Misleading
AspectJ,101407,Main.java,basicRun,org.eclipse.core.launcher.Main,NullPointerException,Misleading
AspectJ,101407,Main.java,run,org.eclipse.core.launcher.Main,NullPointerException,Misleading
AspectJ,101407,Main.java,main,org.eclipse.core.launcher.Main,NullPointerException,Misleading
AspectJ,103740,BcelRenderer.java,visit,org.aspectj.weaver.bcel.BcelRenderer,BCException,Misleading
AspectJ,103740,Literal.java,accept,org.aspectj.weaver.ast.Literal,BCException,Misleading
AspectJ,103740,BcelRenderer.java,recur,org.aspectj.weaver.bcel.BcelRenderer,BCException,Misleading
AspectJ,103740,BcelRenderer.java,renderTest,org.aspectj.weaver.bcel.BcelRenderer,BCException,Misleading
AspectJ,103740,BcelAdvice.java,getTestInstructions,org.aspectj.weaver.bcel.BcelAdvice,BCException,Misleading
AspectJ,103740,BcelShadow.java,weaveAroundClosure,org.aspectj.weaver.bcel.BcelShadow,BCException,Misleading
AspectJ,103740,BcelAdvice.java,implementOn,org.aspectj.weaver.bcel.BcelAdvice,BCException,Misleading
AspectJ,103740,Shadow.java,implementMungers,org.aspectj.weaver.Shadow,BCException,Misleading
AspectJ,103740,Shadow.java,implement,org.aspectj.weaver.Shadow,BCException,Misleading
AspectJ,103740,BcelClassWeaver.java,implement,org.aspectj.weaver.bcel.BcelClassWeaver,BCException,Misleading
AspectJ,103740,BcelClassWeaver.java,weave,org.aspectj.weaver.bcel.BcelClassWeaver,BCException,Misleading
AspectJ,103740,BcelWeaver.java,weave,org.aspectj.weaver.bcel.BcelWeaver,BCException,Misleading
AspectJ,103740,BcelWeaver.java,weaveWithoutDump,org.aspectj.weaver.bcel.BcelWeaver,BCException,Misleading
AspectJ,103740,BcelWeaver.java,weaveAndNotify,org.aspectj.weaver.bcel.BcelWeaver,BCException,Misleading
AspectJ,103740,AjCompilerAdapter.java,weave,org.aspectj.ajdt.internal.compiler.AjCompilerAdapter,BCException,Misleading
AspectJ,103740,AjCompilerAdapter.java,afterCompiling,org.aspectj.ajdt.internal.compiler.AjCompilerAdapter,BCException,Misleading
AspectJ,103740,CompilerAdapter.aj,ajc$afterReturning$org_aspectj_ajdt_internal_compiler_CompilerAdapter$2$f9cc9ca0,org.aspectj.ajdt.internal.compiler.CompilerAdapter,BCException,Misleading
AspectJ,103740,Compiler.java,compile,org.aspectj.org.eclipse.jdt.internal.compiler.Compiler,BCException,Misleading
AspectJ,103740,AjBuildManager.java,performCompilation,org.aspectj.ajdt.internal.core.builder.AjBuildManager,BCException,Misleading
AspectJ,103740,AjBuildManager.java,doBuild,org.aspectj.ajdt.internal.core.builder.AjBuildManager,BCException,Misleading
AspectJ,103740,AjBuildManager.java,batchBuild,org.aspectj.ajdt.internal.core.builder.AjBuildManager,BCException,Misleading
AspectJ,103740,CompilerAdapter.java,compile,org.aspectj.ajde.internal.CompilerAdapter,BCException,Misleading
AspectJ,103740,AspectJBuildManager.java,run,org.aspectj.ajde.internal.AspectJBuildManager$CompilerThread,BCException,Misleading
AspectJ,106634,BcelGenericSignatureToTypeXConverter.java,typeVariableSignature2TypeX,org.aspectj.weaver.bcel.BcelGenericSignatureToTypeXConverter,IllegalStateException,Misleading
AspectJ,106634,BcelGenericSignatureToTypeXConverter.java,fieldTypeSignature2TypeX,org.aspectj.weaver.bcel.BcelGenericSignatureToTypeXConverter,IllegalStateException,Misleading
AspectJ,106634,BcelGenericSignatureToTypeXConverter.java,typeArgument2TypeX,org.aspectj.weaver.bcel.BcelGenericSignatureToTypeXConverter,IllegalStateException,Misleading
AspectJ,106634,BcelGenericSignatureToTypeXConverter.java,classTypeSignature2TypeX,org.aspectj.weaver.bcel.BcelGenericSignatureToTypeXConverter,IllegalStateException,Misleading
AspectJ,106634,BcelObjectType.java,unpackGenericSignature,org.aspectj.weaver.bcel.BcelObjectType,IllegalStateException,Misleading
AspectJ,107713,BcelWorld.java,getBcelObjectType,org.aspectj.weaver.bcel.BcelWorld,ClassCastException,Helpful
AspectJ,107713,BcelWeaver.java,getClassType,org.aspectj.weaver.bcel.BcelWeaver,ClassCastException,Helpful
AspectJ,107713,BcelWeaver.java,weave,org.aspectj.weaver.bcel.BcelWeaver,ClassCastException,Helpful
AspectJ,107713,AjCompilerAdapter.java,weave,org.aspectj.ajdt.internal.compiler.AjCompilerAdapter,ClassCastException,Helpful
AspectJ,107713,AjCompilerAdapter.java,afterCompiling,org.aspectj.ajdt.internal.compiler.AjCompilerAdapter,ClassCastException,Helpful
AspectJ,107713,CompilerAdapter.aj,ajc$afterReturning$org_aspectj_ajdt_internal_compiler_CompilerAdapter$2$f9cc9ca0,org.aspectj.ajdt.internal.compiler.CompilerAdapter,ClassCastException,Helpful
AspectJ,107713,Compiler.java,compile,org.aspectj.org.eclipse.jdt.internal.compiler.Compiler,ClassCastException,Helpful
AspectJ,107713,AjBuildManager.java,performCompilation,org.aspectj.ajdt.internal.core.builder.AjBuildManager,ClassCastException,Helpful
AspectJ,107713,AjBuildManager.java,doBuild,org.aspectj.ajdt.internal.core.builder.AjBuildManager,ClassCastException,Helpful
AspectJ,107713,AjBuildManager.java,incrementalBuild,org.aspectj.ajdt.internal.core.builder.AjBuildManager,ClassCastException,Helpful
AspectJ,107713,CompilerAdapter.java,compile,org.aspectj.ajde.internal.CompilerAdapter,ClassCastException,Helpful
AspectJ,107713,AspectJBuildManager.java,run,org.aspectj.ajde.internal.AspectJBuildManager$CompilerThread,ClassCastException,Helpful
AspectJ,107858,AccessForInlineVisitor.java,getAccessibleField,org.aspectj.ajdt.internal.compiler.ast.AccessForInlineVisitor,NullPointerException,Helpful
AspectJ,107858,AccessForInlineVisitor.java,endVisit,org.aspectj.ajdt.internal.compiler.ast.AccessForInlineVisitor,NullPointerException,Helpful
AspectJ,107858,FieldReference.java,traverse,org.aspectj.org.eclipse.jdt.internal.compiler.ast.FieldReference,NullPointerException,Helpful
AspectJ,107858,MessageSend.java,traverse,org.aspectj.org.eclipse.jdt.internal.compiler.ast.MessageSend,NullPointerException,Helpful
AspectJ,107858,MethodDeclaration.java,traverse,org.aspectj.org.eclipse.jdt.internal.compiler.ast.MethodDeclaration,NullPointerException,Helpful
