Project,BugID,Filename,Method name,Path,Exception,Label
JDT,100310,ModalContext.java,run,org.eclipse.jface.operation.ModalContext,SWTException,Misleading
JDT,100310,ProgressMonitorDialog.java,run,org.eclipse.jface.dialogs.ProgressMonitorDialog,SWTException,Misleading
JDT,100310,ProgressMonitorJobsDialog.java,run,org.eclipse.ui.internal.progress.ProgressMonitorJobsDialog,SWTException,Misleading
JDT,100310,ProgressManager.java,run,org.eclipse.ui.internal.progress.ProgressManager$3,SWTException,Misleading
JDT,100310,BusyIndicator.java,showWhile,org.eclipse.swt.custom.BusyIndicator,SWTException,Misleading
JDT,100310,ProgressManager.java,busyCursorWhile,org.eclipse.ui.internal.progress.ProgressManager,SWTException,Misleading
JDT,100310,NewTestSuiteCreationWizard.java,performFinish,org.eclipse.jdt.internal.junit.wizards.NewTestSuiteCreationWizard,SWTException,Misleading
JDT,100310,WizardDialog.java,finishPressed,org.eclipse.jface.wizard.WizardDialog,SWTException,Misleading
JDT,100310,WizardDialog.java,buttonPressed,org.eclipse.jface.wizard.WizardDialog,SWTException,Misleading
JDT,100310,Dialog.java,widgetSelected,org.eclipse.jface.dialogs.Dialog$2,SWTException,Misleading
JDT,100310,TypedListener.java,handleEvent,org.eclipse.swt.widgets.TypedListener,SWTException,Misleading
JDT,100310,EventTable.java,sendEvent,org.eclipse.swt.widgets.EventTable,SWTException,Misleading
JDT,100310,Widget.java,sendEvent,org.eclipse.swt.widgets.Widget,SWTException,Misleading
JDT,100310,Display.java,runDeferredEvents,org.eclipse.swt.widgets.Display,SWTException,Misleading
JDT,100310,Display.java,readAndDispatch,org.eclipse.swt.widgets.Display,SWTException,Misleading
JDT,100310,Window.java,runEventLoop,org.eclipse.jface.window.Window,SWTException,Misleading
JDT,100310,Window.java,open,org.eclipse.jface.window.Window,SWTException,Misleading
JDT,100310,NewWizardAction.java,run,org.eclipse.ui.actions.NewWizardAction,SWTException,Misleading
JDT,100310,Action.java,runWithEvent,org.eclipse.jface.action.Action,SWTException,Misleading
JDT,100310,ActionContributionItem.java,handleWidgetSelection,org.eclipse.jface.action.ActionContributionItem,SWTException,Misleading
JDT,100310,ActionContributionItem.java,access$2,org.eclipse.jface.action.ActionContributionItem,SWTException,Misleading
JDT,100310,ActionContributionItem.java,handleEvent,org.eclipse.jface.action.ActionContributionItem$5,SWTException,Misleading
JDT,100310,Workbench.java,runEventLoop,org.eclipse.ui.internal.Workbench,SWTException,Misleading
JDT,100310,Workbench.java,runUI,org.eclipse.ui.internal.Workbench,SWTException,Misleading
JDT,100310,Workbench.java,createAndRunWorkbench,org.eclipse.ui.internal.Workbench,SWTException,Misleading
JDT,100310,PlatformUI.java,createAndRunWorkbench,org.eclipse.ui.PlatformUI,SWTException,Misleading
JDT,100310,IDEApplication.java,run,org.eclipse.ui.internal.ide.IDEApplication,SWTException,Misleading
JDT,100310,PlatformActivator.java,run,org.eclipse.core.internal.runtime.PlatformActivator$1,SWTException,Misleading
JDT,100310,EclipseStarter.java,run,org.eclipse.core.runtime.adaptor.EclipseStarter,SWTException,Misleading
JDT,100310,Native Method,invoke0,sun.reflect.NativeMethodAccessorImpl,SWTException,Misleading
JDT,100310,NativeMethodAccessorImpl.java,invoke,sun.reflect.NativeMethodAccessorImpl,SWTException,Misleading
JDT,100310,DelegatingMethodAccessorImpl.java,invoke,sun.reflect.DelegatingMethodAccessorImpl,SWTException,Misleading
JDT,100310,Method.java,invoke,java.lang.reflect.Method,SWTException,Misleading
JDT,100310,Main.java,invokeFramework,org.eclipse.core.launcher.Main,SWTException,Misleading
JDT,100310,Main.java,basicRun,org.eclipse.core.launcher.Main,SWTException,Misleading
JDT,100310,Main.java,run,org.eclipse.core.launcher.Main,SWTException,Misleading
JDT,100310,Main.java,main,org.eclipse.core.launcher.Main,SWTException,Misleading
JDT,100310,SWT.java,error,org.eclipse.swt.SWT,SWTException,Misleading
JDT,100310,Widget.java,error,org.eclipse.swt.widgets.Widget,SWTException,Misleading
JDT,100310,Widget.java,checkWidget,org.eclipse.swt.widgets.Widget,SWTException,Misleading
JDT,100310,StyledText.java,setEditable,org.eclipse.swt.custom.StyledText,SWTException,Misleading
JDT,100310,TextViewer.java,setEditable,org.eclipse.jface.text.TextViewer,SWTException,Misleading
JDT,100310,AbstractTextEditor.java,updateState,org.eclipse.ui.texteditor.AbstractTextEditor,SWTException,Misleading
JDT,100310,CompilationUnitEditor.java,doSave,org.eclipse.jdt.internal.ui.javaeditor.CompilationUnitEditor,SWTException,Misleading
JDT,100310,NewTestSuiteCreationWizard.java,run,org.eclipse.jdt.internal.junit.wizards.NewTestSuiteCreationWizard$1,SWTException,Misleading
JDT,100868,OverrideCompletionProposal.java,updateReplacementString,org.eclipse.jdt.internal.ui.text.java.OverrideCompletionProposal,ClassCastException,Helpful
JDT,100868,JavaTypeCompletionProposal.java,apply,org.eclipse.jdt.internal.ui.text.java.JavaTypeCompletionProposal,ClassCastException,Helpful
JDT,100868,JavaCompletionProposal.java,apply,org.eclipse.jdt.internal.ui.text.java.JavaCompletionProposal,ClassCastException,Helpful
JDT,100868,CompletionProposalPopup.java,insertProposal,org.eclipse.jface.text.contentassist.CompletionProposalPopup,ClassCastException,Helpful
JDT,100868,CompletionProposalPopup.java,insertSelectedProposalWithMask,org.eclipse.jface.text.contentassist.CompletionProposalPopup,ClassCastException,Helpful
JDT,100868,CompletionProposalPopup.java,access$23,org.eclipse.jface.text.contentassist.CompletionProposalPopup,ClassCastException,Helpful
JDT,100868,CompletionProposalPopup.java,widgetDefaultSelected,org.eclipse.jface.text.contentassist.CompletionProposalPopup$5,ClassCastException,Helpful
JDT,100868,TypedListener.java,handleEvent,org.eclipse.swt.widgets.TypedListener,ClassCastException,Helpful
JDT,100868,EventTable.java,sendEvent,org.eclipse.swt.widgets.EventTable,ClassCastException,Helpful
JDT,100868,Widget.java,sendEvent,org.eclipse.swt.widgets.Widget,ClassCastException,Helpful
JDT,100868,Display.java,runDeferredEvents,org.eclipse.swt.widgets.Display,ClassCastException,Helpful
JDT,100868,Display.java,readAndDispatch,org.eclipse.swt.widgets.Display,ClassCastException,Helpful
JDT,100868,Workbench.java,runEventLoop,org.eclipse.ui.internal.Workbench,ClassCastException,Helpful
JDT,100868,Workbench.java,runUI,org.eclipse.ui.internal.Workbench,ClassCastException,Helpful
JDT,100868,Workbench.java,createAndRunWorkbench,org.eclipse.ui.internal.Workbench,ClassCastException,Helpful
JDT,100868,PlatformUI.java,createAndRunWorkbench,org.eclipse.ui.PlatformUI,ClassCastException,Helpful
JDT,100868,IDEApplication.java,run,org.eclipse.ui.internal.ide.IDEApplication,ClassCastException,Helpful
JDT,100868,PlatformActivator.java,run,org.eclipse.core.internal.runtime.PlatformActivator$1,ClassCastException,Helpful
JDT,100868,EclipseStarter.java,run,org.eclipse.core.runtime.adaptor.EclipseStarter,ClassCastException,Helpful
JDT,100868,Native Method,invoke0,sun.reflect.NativeMethodAccessorImpl,ClassCastException,Helpful
JDT,100868,NativeMethodAccessorImpl.java,invoke,sun.reflect.NativeMethodAccessorImpl,ClassCastException,Helpful
JDT,100868,DelegatingMethodAccessorImpl.java,invoke,sun.reflect.DelegatingMethodAccessorImpl,ClassCastException,Helpful
JDT,100868,Method.java,invoke,java.lang.reflect.Method,ClassCastException,Helpful
JDT,100868,Main.java,invokeFramework,org.eclipse.core.launcher.Main,ClassCastException,Helpful
JDT,100868,Main.java,basicRun,org.eclipse.core.launcher.Main,ClassCastException,Helpful
JDT,100868,Main.java,run,org.eclipse.core.launcher.Main,ClassCastException,Helpful
JDT,100868,Main.java,main,org.eclipse.core.launcher.Main,ClassCastException,Helpful
JDT,101174,AbstractDocument.java,computeIndexInPositionList,org.eclipse.jface.text.AbstractDocument,NullPointerException,Misleading
JDT,101174,AbstractDocument.java,addPosition,org.eclipse.jface.text.AbstractDocument,NullPointerException,Misleading
JDT,101174,AnnotationModel.java,addPosition,org.eclipse.jface.text.source.AnnotationModel,NullPointerException,Misleading
JDT,101174,AnnotationModel.java,addAnnotation,org.eclipse.jface.text.source.AnnotationModel,NullPointerException,Misleading
JDT,101174,AnnotationModel.java,replaceAnnotations,org.eclipse.jface.text.source.AnnotationModel,NullPointerException,Misleading
JDT,101174,DefaultJavaFoldingStructureProvider.java,initialize,org.eclipse.jdt.internal.ui.text.folding.DefaultJavaFoldingStructureProvider,NullPointerException,Misleading
JDT,101174,DefaultJavaFoldingStructureProvider.java,projectionEnabled,org.eclipse.jdt.internal.ui.text.folding.DefaultJavaFoldingStructureProvider,NullPointerException,Misleading
JDT,101174,ProjectionViewer.java,fireProjectionEnabled,org.eclipse.jface.text.source.projection.ProjectionViewer,NullPointerException,Misleading
JDT,101174,ProjectionViewer.java,enableProjection,org.eclipse.jface.text.source.projection.ProjectionViewer,NullPointerException,Misleading
JDT,101174,JavaSourceViewer.java,setVisibleDocument,org.eclipse.jdt.internal.ui.javaeditor.JavaSourceViewer,NullPointerException,Misleading
JDT,101174,TextViewer.java,setDocument,org.eclipse.jface.text.TextViewer,NullPointerException,Misleading
JDT,101174,SourceViewer.java,setDocument,org.eclipse.jface.text.source.SourceViewer,NullPointerException,Misleading
JDT,101174,ProjectionViewer.java,setDocument,org.eclipse.jface.text.source.projection.ProjectionViewer,NullPointerException,Misleading
JDT,101174,AbstractTextEditor.java,initializeSourceViewer,org.eclipse.ui.texteditor.AbstractTextEditor,NullPointerException,Misleading
JDT,101174,AbstractTextEditor.java,createPartControl,org.eclipse.ui.texteditor.AbstractTextEditor,NullPointerException,Misleading
