Project,BugID,Filename,Method name,Path,Exception,Label
Birt,116180,ReportTemplateTransferDropTargetListener.java,getSingleTransferData,org.eclipse.birt.report.designer.internal.ui.palette.ReportTemplateTransferDropTargetListener,ArrayIndexOutOfBoundsException,Misleading
Birt,116180,ReportTemplateTransferDropTargetListener.java,getFactory,org.eclipse.birt.report.designer.internal.ui.palette.ReportTemplateTransferDropTargetListener,ArrayIndexOutOfBoundsException,Misleading
Birt,116180,TemplateTransferDropTargetListener.java,createTargetRequest,org.eclipse.gef.dnd.TemplateTransferDropTargetListener,ArrayIndexOutOfBoundsException,Misleading
Birt,116180,AbstractTransferDropTargetListener.java,getTargetRequest,org.eclipse.gef.dnd.AbstractTransferDropTargetListener,ArrayIndexOutOfBoundsException,Misleading
Birt,116180,TemplateTransferDropTargetListener.java,getCreateRequest,org.eclipse.gef.dnd.TemplateTransferDropTargetListener,ArrayIndexOutOfBoundsException,Misleading
Birt,116180,TemplateTransferDropTargetListener.java,updateTargetRequest,org.eclipse.gef.dnd.TemplateTransferDropTargetListener,ArrayIndexOutOfBoundsException,Misleading
Birt,116180,AbstractTransferDropTargetListener.java,isEnabled,org.eclipse.gef.dnd.AbstractTransferDropTargetListener,ArrayIndexOutOfBoundsException,Misleading
Birt,116180,DelegatingDropAdapter.java,updateCurrentListener,org.eclipse.jface.util.DelegatingDropAdapter,ArrayIndexOutOfBoundsException,Misleading
Birt,116180,DelegatingDropAdapter.java,drop,org.eclipse.jface.util.DelegatingDropAdapter,ArrayIndexOutOfBoundsException,Misleading
Birt,116180,DNDListener.java,handleEvent,org.eclipse.swt.dnd.DNDListener,ArrayIndexOutOfBoundsException,Misleading
Birt,116180,EventTable.java,sendEvent,org.eclipse.swt.widgets.EventTable,ArrayIndexOutOfBoundsException,Misleading
Birt,116180,Widget.java,sendEvent,org.eclipse.swt.widgets.Widget,ArrayIndexOutOfBoundsException,Misleading
