Project,BugID,Filename,Method name,Path,Exception,Label
Birt,100799,BundleLoader.java,findClass,org.eclipse.osgi.framework.internal.core.BundleLoader,UnsupportedClassVersionError,Misleading
Birt,100799,AbstractClassLoader.java,loadClass,org.eclipse.osgi.framework.adaptor.core.AbstractClassLoader,UnsupportedClassVersionError,Misleading
Birt,100799,ClassLoader.java,loadClass,java.lang.ClassLoader,UnsupportedClassVersionError,Misleading
Birt,100799,BundleLoader.java,loadClass,org.eclipse.osgi.framework.internal.core.BundleLoader,UnsupportedClassVersionError,Misleading
Birt,100799,BundleHost.java,loadClass,org.eclipse.osgi.framework.internal.core.BundleHost,UnsupportedClassVersionError,Misleading
Birt,100799,AbstractBundle.java,loadClass,org.eclipse.osgi.framework.internal.core.AbstractBundle,UnsupportedClassVersionError,Misleading
Birt,100799,ConfigurationElement.java,createExecutableExtension,org.eclipse.core.internal.registry.ConfigurationElement,UnsupportedClassVersionError,Misleading
Birt,100799,ConfigurationElementHandle.java,createExecutableExtension,org.eclipse.core.internal.registry.ConfigurationElementHandle,UnsupportedClassVersionError,Misleading
Birt,100799,WorkbenchPlugin.java,run,org.eclipse.ui.internal.WorkbenchPlugin$1,UnsupportedClassVersionError,Misleading
Birt,100799,BusyIndicator.java,showWhile,org.eclipse.swt.custom.BusyIndicator,UnsupportedClassVersionError,Misleading
Birt,100799,WorkbenchPlugin.java,createExtension,org.eclipse.ui.internal.WorkbenchPlugin,UnsupportedClassVersionError,Misleading
Birt,100799,ViewDescriptor.java,createView,org.eclipse.ui.internal.registry.ViewDescriptor,UnsupportedClassVersionError,Misleading
Birt,100799,ViewReference.java,createPartHelper,org.eclipse.ui.internal.ViewReference,UnsupportedClassVersionError,Misleading
Birt,100799,ViewReference.java,createPart,org.eclipse.ui.internal.ViewReference,UnsupportedClassVersionError,Misleading
Birt,100799,WorkbenchPartReference.java,getPart,org.eclipse.ui.internal.WorkbenchPartReference,UnsupportedClassVersionError,Misleading
Birt,100799,Perspective.java,showView,org.eclipse.ui.internal.Perspective,UnsupportedClassVersionError,Misleading
Birt,100799,WorkbenchPage.java,busyShowView,org.eclipse.ui.internal.WorkbenchPage,UnsupportedClassVersionError,Misleading
Birt,100799,WorkbenchPage.java,access$12,org.eclipse.ui.internal.WorkbenchPage,UnsupportedClassVersionError,Misleading
Birt,100799,WorkbenchPage.java,run,org.eclipse.ui.internal.WorkbenchPage$13,UnsupportedClassVersionError,Misleading
Birt,100799,WorkbenchPage.java,showView,org.eclipse.ui.internal.WorkbenchPage,UnsupportedClassVersionError,Misleading
Birt,100799,ShowViewHandler.java,execute,org.eclipse.ui.internal.registry.ShowViewHandler,UnsupportedClassVersionError,Misleading
Birt,100799,Command.java,execute,org.eclipse.core.commands.Command,UnsupportedClassVersionError,Misleading
Birt,100799,ParameterizedCommand.java,execute,org.eclipse.core.commands.ParameterizedCommand,UnsupportedClassVersionError,Misleading
Birt,100799,WorkbenchKeyboard.java,executeCommand,org.eclipse.ui.internal.keys.WorkbenchKeyboard,UnsupportedClassVersionError,Misleading
Birt,100799,WorkbenchKeyboard.java,press,org.eclipse.ui.internal.keys.WorkbenchKeyboard,UnsupportedClassVersionError,Misleading
Birt,100799,WorkbenchKeyboard.java,processKeyEvent,org.eclipse.ui.internal.keys.WorkbenchKeyboard,UnsupportedClassVersionError,Misleading
Birt,100799,WorkbenchKeyboard.java,filterKeySequenceBindings,org.eclipse.ui.internal.keys.WorkbenchKeyboard,UnsupportedClassVersionError,Misleading
Birt,100799,WorkbenchKeyboard.java,access$3,org.eclipse.ui.internal.keys.WorkbenchKeyboard,UnsupportedClassVersionError,Misleading
Birt,100799,WorkbenchKeyboard.java,handleEvent,org.eclipse.ui.internal.keys.WorkbenchKeyboard$KeyDownFilter,UnsupportedClassVersionError,Misleading
Birt,100799,EventTable.java,sendEvent,org.eclipse.swt.widgets.EventTable,UnsupportedClassVersionError,Misleading
Birt,100799,Display.java,filterEvent,org.eclipse.swt.widgets.Display,UnsupportedClassVersionError,Misleading
Birt,100799,Widget.java,sendEvent,org.eclipse.swt.widgets.Widget,UnsupportedClassVersionError,Misleading
