Project,BugID,Filename,Method name,Path,Exception,Label
Spring,SPR-10000,AbstractApplicationContext.java,getLifecycleProcessor,org.springframework.context.support.AbstractApplicationContext,IllegalStateException,Misleading
Spring,SPR-10000,AbstractApplicationContext.java,doClose,org.springframework.context.support.AbstractApplicationContext,IllegalStateException,Misleading
Spring,SPR-10000,AbstractApplicationContext.java,close,org.springframework.context.support.AbstractApplicationContext,IllegalStateException,Misleading
Spring,SPR-10000,AbstractApplicationContext.java,destroy,org.springframework.context.support.AbstractApplicationContext,IllegalStateException,Misleading
Spring,SPR-10000,DisposableBeanAdapter.java,destroy,org.springframework.beans.factory.support.DisposableBeanAdapter,IllegalStateException,Misleading
Spring,SPR-10000,DefaultSingletonBeanRegistry.java,destroyBean,org.springframework.beans.factory.support.DefaultSingletonBeanRegistry,IllegalStateException,Misleading
Spring,SPR-10000,DefaultSingletonBeanRegistry.java,destroySingleton,org.springframework.beans.factory.support.DefaultSingletonBeanRegistry,IllegalStateException,Misleading
Spring,SPR-10000,AbstractBeanFactory.java,getObject,org.springframework.beans.factory.support.AbstractBeanFactory$1,IllegalStateException,Misleading
Spring,SPR-10000,DefaultSingletonBeanRegistry.java,getSingleton,org.springframework.beans.factory.support.DefaultSingletonBeanRegistry,IllegalStateException,Misleading
Spring,SPR-10000,AbstractBeanFactory.java,doGetBean,org.springframework.beans.factory.support.AbstractBeanFactory,IllegalStateException,Misleading
Spring,SPR-10000,AbstractBeanFactory.java,getBean,org.springframework.beans.factory.support.AbstractBeanFactory,IllegalStateException,Misleading
Spring,SPR-10000,DefaultListableBeanFactory.java,preInstantiateSingletons,org.springframework.beans.factory.support.DefaultListableBeanFactory,IllegalStateException,Misleading
Spring,SPR-10000,AbstractApplicationContext.java,finishBeanFactoryInitialization,org.springframework.context.support.AbstractApplicationContext,IllegalStateException,Misleading
Spring,SPR-10000,AbstractApplicationContext.java,refresh,org.springframework.context.support.AbstractApplicationContext,IllegalStateException,Misleading
Spring,SPR-10000,ContextLoader.java,configureAndRefreshWebApplicationContext,org.springframework.web.context.ContextLoader,IllegalStateException,Misleading
Spring,SPR-10000,ContextLoader.java,initWebApplicationContext,org.springframework.web.context.ContextLoader,IllegalStateException,Misleading
Spring,SPR-10000,ContextLoaderListener.java,contextInitialized,org.springframework.web.context.ContextLoaderListener,IllegalStateException,Misleading
Spring,SPR-10000,StandardContext.java,listenerStart,org.apache.catalina.core.StandardContext,IllegalStateException,Misleading
Spring,SPR-10000,StandardContext.java,startInternal,org.apache.catalina.core.StandardContext,IllegalStateException,Misleading
Spring,SPR-10000,LifecycleBase.java,start,org.apache.catalina.util.LifecycleBase,IllegalStateException,Misleading
Spring,SPR-10000,ContainerBase.java,addChildInternal,org.apache.catalina.core.ContainerBase,IllegalStateException,Misleading
Spring,SPR-10000,ContainerBase.java,addChild,org.apache.catalina.core.ContainerBase,IllegalStateException,Misleading
Spring,SPR-10000,StandardHost.java,addChild,org.apache.catalina.core.StandardHost,IllegalStateException,Misleading
Spring,SPR-10000,HostConfig.java,deployDirectory,org.apache.catalina.startup.HostConfig,IllegalStateException,Misleading
Spring,SPR-10000,HostConfig.java,run,org.apache.catalina.startup.HostConfig$DeployDirectory,IllegalStateException,Misleading
Spring,SPR-10000,Executors.java,call,java.util.concurrent.Executors$RunnableAdapter,IllegalStateException,Misleading
Spring,SPR-10000,FutureTask.java,innerRun,java.util.concurrent.FutureTask$Sync,IllegalStateException,Misleading
Spring,SPR-10000,FutureTask.java,run,java.util.concurrent.FutureTask,IllegalStateException,Misleading
Spring,SPR-10000,ThreadPoolExecutor.java,runWorker,java.util.concurrent.ThreadPoolExecutor,IllegalStateException,Misleading
Spring,SPR-10000,ThreadPoolExecutor.java,run,java.util.concurrent.ThreadPoolExecutor$Worker,IllegalStateException,Misleading
Spring,SPR-10000,Thread.java,run,java.lang.Thread,IllegalStateException,Misleading
Spring,SPR-10070,StaticLoggerBinder.java,<init>,org.slf4j.impl.StaticLoggerBinder,IllegalStateException,Misleading
Spring,SPR-10070,StaticLoggerBinder.java,<clinit>,org.slf4j.impl.StaticLoggerBinder,IllegalStateException,Misleading
Spring,SPR-10070,LoggerFactory.java,bind,org.slf4j.LoggerFactory,IllegalStateException,Misleading
Spring,SPR-10070,LoggerFactory.java,performInitialization,org.slf4j.LoggerFactory,IllegalStateException,Misleading
Spring,SPR-10070,LoggerFactory.java,getILoggerFactory,org.slf4j.LoggerFactory,IllegalStateException,Misleading
Spring,SPR-10070,LoggerFactory.java,getLogger,org.slf4j.LoggerFactory,IllegalStateException,Misleading
Spring,SPR-10070,SLF4JLogFactory.java,getInstance,org.apache.commons.logging.impl.SLF4JLogFactory,IllegalStateException,Misleading
Spring,SPR-10070,LogFactory.java,getLog,org.apache.commons.logging.LogFactory,IllegalStateException,Misleading
Spring,SPR-10070,SpringJUnit4ClassRunner.java,<clinit>,org.springframework.test.context.junit4.SpringJUnit4ClassRunner,IllegalStateException,Misleading
Spring,SPR-10070,Native Method,newInstance0,sun.reflect.NativeConstructorAccessorImpl,IllegalStateException,Misleading
Spring,SPR-10070,NativeConstructorAccessorImpl.java,newInstance,sun.reflect.NativeConstructorAccessorImpl,IllegalStateException,Misleading
Spring,SPR-10070,DelegatingConstructorAccessorImpl.java,newInstance,sun.reflect.DelegatingConstructorAccessorImpl,IllegalStateException,Misleading
Spring,SPR-10070,Constructor.java,newInstance,java.lang.reflect.Constructor,IllegalStateException,Misleading
Spring,SPR-10070,AnnotatedBuilder.java,buildRunner,org.junit.internal.builders.AnnotatedBuilder,IllegalStateException,Misleading
Spring,SPR-10070,AnnotatedBuilder.java,runnerForClass,org.junit.internal.builders.AnnotatedBuilder,IllegalStateException,Misleading
Spring,SPR-10070,RunnerBuilder.java,safeRunnerForClass,org.junit.runners.model.RunnerBuilder,IllegalStateException,Misleading
Spring,SPR-10070,AllDefaultPossibilitiesBuilder.java,runnerForClass,org.junit.internal.builders.AllDefaultPossibilitiesBuilder,IllegalStateException,Misleading
Spring,SPR-10070,ClassRequest.java,getRunner,org.junit.internal.requests.ClassRequest,IllegalStateException,Misleading
Spring,SPR-10070,JUnit4TestReference.java,<init>,org.eclipse.jdt.internal.junit4.runner.JUnit4TestReference,IllegalStateException,Misleading
Spring,SPR-10070,JUnit4TestClassReference.java,<init>,org.eclipse.jdt.internal.junit4.runner.JUnit4TestClassReference,IllegalStateException,Misleading
Spring,SPR-10070,JUnit4TestLoader.java,createTest,org.eclipse.jdt.internal.junit4.runner.JUnit4TestLoader,IllegalStateException,Misleading
Spring,SPR-10070,JUnit4TestLoader.java,loadTests,org.eclipse.jdt.internal.junit4.runner.JUnit4TestLoader,IllegalStateException,Misleading
Spring,SPR-10070,RemoteTestRunner.java,runTests,org.eclipse.jdt.internal.junit.runner.RemoteTestRunner,IllegalStateException,Misleading
Spring,SPR-10070,RemoteTestRunner.java,run,org.eclipse.jdt.internal.junit.runner.RemoteTestRunner,IllegalStateException,Misleading
Spring,SPR-10070,RemoteTestRunner.java,main,org.eclipse.jdt.internal.junit.runner.RemoteTestRunner,IllegalStateException,Misleading
Spring,SPR-10070,JCLLoggerFactory.java,<clinit>,org.slf4j.impl.JCLLoggerFactory,IllegalStateException,Misleading
Spring,SPR-10107,DefaultListableBeanFactory.java,doResolveDependency,org.springframework.beans.factory.support.DefaultListableBeanFactory,NoSuchBeanDefinitionException,Misleading
Spring,SPR-10107,DefaultListableBeanFactory.java,resolveDependency,org.springframework.beans.factory.support.DefaultListableBeanFactory,NoSuchBeanDefinitionException,Misleading
Spring,SPR-10107,AutowiredAnnotationBeanPostProcessor.java,inject,org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$AutowiredFieldElement,NoSuchBeanDefinitionException,Misleading
Spring,SPR-10115,BeanWrapperImpl.java,setPropertyValue,org.springframework.beans.BeanWrapperImpl,NotWritablePropertyException,Misleading
Spring,SPR-10115,AbstractPropertyAccessor.java,setPropertyValues,org.springframework.beans.AbstractPropertyAccessor,NotWritablePropertyException,Misleading
Spring,SPR-10115,AbstractAutowireCapableBeanFactory.java,applyPropertyValues,org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory,NotWritablePropertyException,Misleading
Spring,SPR-10119,MappingMediaTypeFileExtensionResolver.java,<init>,org.springframework.web.accept.MappingMediaTypeFileExtensionResolver,ClassCastException,Misleading
Spring,SPR-10119,AbstractMappingContentNegotiationStrategy.java,<init>,org.springframework.web.accept.AbstractMappingContentNegotiationStrategy,ClassCastException,Misleading
Spring,SPR-10119,PathExtensionContentNegotiationStrategy.java,<init>,org.springframework.web.accept.PathExtensionContentNegotiationStrategy,ClassCastException,Misleading
Spring,SPR-10119,ContentNegotiationManagerFactoryBean.java,afterPropertiesSet,org.springframework.web.accept.ContentNegotiationManagerFactoryBean,ClassCastException,Misleading
Spring,SPR-10119,ContentNegotiatingViewResolver.java,afterPropertiesSet,org.springframework.web.servlet.view.ContentNegotiatingViewResolver,ClassCastException,Misleading
Spring,SPR-10119,AbstractAutowireCapableBeanFactory.java,invokeInitMethods,org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory,ClassCastException,Misleading
Spring,SPR-10119,AbstractAutowireCapableBeanFactory.java,initializeBean,org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory,ClassCastException,Misleading
Spring,SPR-10138,Assert.java,isInstanceOf,org.springframework.util.Assert,IllegalArgumentException,Misleading
Spring,SPR-10139,Hashtable.java,get,java.util.Hashtable,NullPointerException,Helpful
Spring,SPR-10139,Parameters.java,getParameterValues,org.apache.tomcat.util.http.Parameters,NullPointerException,Helpful
Spring,SPR-10139,Parameters.java,getParameter,org.apache.tomcat.util.http.Parameters,NullPointerException,Helpful
Spring,SPR-10139,Request.java,getParameter,org.apache.catalina.connector.Request,NullPointerException,Helpful
Spring,SPR-10139,RequestFacade.java,getParameter,org.apache.catalina.connector.RequestFacade,NullPointerException,Helpful
Spring,SPR-10139,ServletRequestWrapper.java,getParameter,javax.servlet.ServletRequestWrapper,NullPointerException,Helpful
Spring,SPR-10139,ServletWebRequest.java,getParameter,org.springframework.web.context.request.ServletWebRequest,NullPointerException,Helpful
Spring,SPR-10139,ParameterContentNegotiationStrategy.java,getMediaTypeKey,org.springframework.web.accept.ParameterContentNegotiationStrategy,NullPointerException,Helpful
Spring,SPR-10139,AbstractMappingContentNegotiationStrategy.java,resolveMediaTypes,org.springframework.web.accept.AbstractMappingContentNegotiationStrategy,NullPointerException,Helpful
Spring,SPR-10139,ContentNegotiationManager.java,resolveMediaTypes,org.springframework.web.accept.ContentNegotiationManager,NullPointerException,Helpful
Spring,SPR-10139,AbstractMessageConverterMethodProcessor.java,getAcceptableMediaTypes,org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodProcessor,NullPointerException,Helpful
Spring,SPR-10139,AbstractMessageConverterMethodProcessor.java,writeWithMessageConverters,org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodProcessor,NullPointerException,Helpful
Spring,SPR-10139,RequestResponseBodyMethodProcessor.java,handleReturnValue,org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor,NullPointerException,Helpful
Spring,SPR-10139,HandlerMethodReturnValueHandlerComposite.java,handleReturnValue,org.springframework.web.method.support.HandlerMethodReturnValueHandlerComposite,NullPointerException,Helpful
Spring,SPR-10139,ServletInvocableHandlerMethod.java,invokeAndHandle,org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod,NullPointerException,Helpful
Spring,SPR-10139,RequestMappingHandlerAdapter.java,invokeHandleMethod,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter,NullPointerException,Helpful
Spring,SPR-10139,RequestMappingHandlerAdapter.java,handleInternal,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter,NullPointerException,Helpful
Spring,SPR-10139,AbstractHandlerMethodAdapter.java,handle,org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter,NullPointerException,Helpful
Spring,SPR-10139,DispatcherServlet.java,doDispatch,org.springframework.web.servlet.DispatcherServlet,NullPointerException,Helpful
Spring,SPR-10139,DispatcherServlet.java,doService,org.springframework.web.servlet.DispatcherServlet,NullPointerException,Helpful
Spring,SPR-10139,FrameworkServlet.java,processRequest,org.springframework.web.servlet.FrameworkServlet,NullPointerException,Helpful
Spring,SPR-10139,FrameworkServlet.java,doGet,org.springframework.web.servlet.FrameworkServlet,NullPointerException,Helpful
Spring,SPR-10144,ConcurrentHashMap.java,get,java.util.concurrent.ConcurrentHashMap,NullPointerException,Helpful
Spring,SPR-10144,AbstractAdvisingBeanPostProcessor.java,isEligible,org.springframework.aop.framework.AbstractAdvisingBeanPostProcessor,NullPointerException,Helpful
Spring,SPR-10144,AbstractAdvisingBeanPostProcessor.java,postProcessAfterInitialization,org.springframework.aop.framework.AbstractAdvisingBeanPostProcessor,NullPointerException,Helpful
Spring,SPR-10144,AbstractAutowireCapableBeanFactory.java,applyBeanPostProcessorsAfterInitialization,org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory,NullPointerException,Helpful
Spring,SPR-10144,BeanConfigurerSupport.java,configureBean,org.springframework.beans.factory.wiring.BeanConfigurerSupport,NullPointerException,Helpful
Spring,SPR-10144,AnnotationBeanConfigurerAspect.aj,configureBean,org.springframework.beans.factory.aspectj.AnnotationBeanConfigurerAspect,NullPointerException,Helpful
Spring,SPR-10144,AbstractDependencyInjectionAspect.aj,ajc$afterReturning$org_springframework_beans_factory_aspectj_AbstractDependencyInjectionAspect$2$1ea6722c,org.springframework.beans.factory.aspectj.AbstractDependencyInjectionAspect,NullPointerException,Helpful
Spring,SPR-10144,Foo.java,<init>,com.Foo,NullPointerException,Helpful
Spring,SPR-10144,FooTest.java,testFoo,com.FooTest,NullPointerException,Helpful
Spring,SPR-10144,Native Method,invoke0,sun.reflect.NativeMethodAccessorImpl,NullPointerException,Helpful
Spring,SPR-10144,NativeMethodAccessorImpl.java,invoke,sun.reflect.NativeMethodAccessorImpl,NullPointerException,Helpful
Spring,SPR-10144,DelegatingMethodAccessorImpl.java,invoke,sun.reflect.DelegatingMethodAccessorImpl,NullPointerException,Helpful
Spring,SPR-10144,FrameworkMethod.java,runReflectiveCall,org.junit.runners.model.FrameworkMethod$1,NullPointerException,Helpful
Spring,SPR-10144,ReflectiveCallable.java,run,org.junit.internal.runners.model.ReflectiveCallable,NullPointerException,Helpful
Spring,SPR-10144,FrameworkMethod.java,invokeExplosively,org.junit.runners.model.FrameworkMethod,NullPointerException,Helpful
Spring,SPR-10144,InvokeMethod.java,evaluate,org.junit.internal.runners.statements.InvokeMethod,NullPointerException,Helpful
Spring,SPR-10144,RunBeforeTestMethodCallbacks.java,evaluate,org.springframework.test.context.junit4.statements.RunBeforeTestMethodCallbacks,NullPointerException,Helpful
Spring,SPR-10144,RunAfterTestMethodCallbacks.java,evaluate,org.springframework.test.context.junit4.statements.RunAfterTestMethodCallbacks,NullPointerException,Helpful
Spring,SPR-10144,SpringRepeat.java,evaluate,org.springframework.test.context.junit4.statements.SpringRepeat,NullPointerException,Helpful
Spring,SPR-10144,SpringJUnit4ClassRunner.java,runChild,org.springframework.test.context.junit4.SpringJUnit4ClassRunner,NullPointerException,Helpful
Spring,SPR-10144,ParentRunner.java,run,org.junit.runners.ParentRunner$3,NullPointerException,Helpful
Spring,SPR-10144,ParentRunner.java,schedule,org.junit.runners.ParentRunner$1,NullPointerException,Helpful
Spring,SPR-10144,ParentRunner.java,runChildren,org.junit.runners.ParentRunner,NullPointerException,Helpful
Spring,SPR-10144,ParentRunner.java,access$000,org.junit.runners.ParentRunner,NullPointerException,Helpful
Spring,SPR-10144,ParentRunner.java,evaluate,org.junit.runners.ParentRunner$2,NullPointerException,Helpful
Spring,SPR-10144,RunBeforeTestClassCallbacks.java,evaluate,org.springframework.test.context.junit4.statements.RunBeforeTestClassCallbacks,NullPointerException,Helpful
Spring,SPR-10144,RunAfterTestClassCallbacks.java,evaluate,org.springframework.test.context.junit4.statements.RunAfterTestClassCallbacks,NullPointerException,Helpful
Spring,SPR-10144,SpringJUnit4ClassRunner.java,run,org.springframework.test.context.junit4.SpringJUnit4ClassRunner,NullPointerException,Helpful
Spring,SPR-10144,JUnitCore.java,run,org.junit.runner.JUnitCore,NullPointerException,Helpful
Spring,SPR-10178,AuditingEntityListener.java,<init>,org.springframework.data.jpa.domain.support.AuditingEntityListener,NoSuchMethodError,Misleading
Spring,SPR-10186,ObjectOutputStream.java,writeObject0,java.io.ObjectOutputStream,NotSerializableException,Misleading
Spring,SPR-10198,GenericConversionService.java,handleConverterNotFound,org.springframework.core.convert.support.GenericConversionService,ConverterNotFoundException,Misleading
Spring,SPR-10198,GenericConversionService.java,convert,org.springframework.core.convert.support.GenericConversionService,ConverterNotFoundException,Misleading
Spring,SPR-10198,FormattingConversionService.java,convert,org.springframework.format.support.FormattingConversionService$PrinterConverter,ConverterNotFoundException,Misleading
Spring,SPR-10198,ConversionUtils.java,invokeConverter,org.springframework.core.convert.support.ConversionUtils,ConverterNotFoundException,Misleading
Spring,SPR-10210,MethodReference.java,findAccessorForMethod,org.springframework.expression.spel.ast.MethodReference,SpelEvaluationException,Helpful
Spring,SPR-10210,MethodReference.java,access$5,org.springframework.expression.spel.ast.MethodReference,SpelEvaluationException,Helpful
Spring,SPR-10210,MethodReference.java,getValue,org.springframework.expression.spel.ast.MethodReference$MethodValueRef,SpelEvaluationException,Helpful
Spring,SPR-10210,CompoundExpression.java,getValueInternal,org.springframework.expression.spel.ast.CompoundExpression,SpelEvaluationException,Helpful
Spring,SPR-10210,SpelNodeImpl.java,getValue,org.springframework.expression.spel.ast.SpelNodeImpl,SpelEvaluationException,Helpful
Spring,SPR-10210,SpelExpression.java,getValue,org.springframework.expression.spel.standard.SpelExpression,SpelEvaluationException,Helpful
Spring,SPR-10210,SpelReproTests.java,SPR_10210,org.springframework.expression.spel.SpelReproTests,SpelEvaluationException,Helpful
Spring,SPR-10210,Method.java,invoke,java.lang.reflect.Method,SpelEvaluationException,Helpful
Spring,SPR-10210,ParentRunner.java,runLeaf,org.junit.runners.ParentRunner,SpelEvaluationException,Helpful
Spring,SPR-10210,BlockJUnit4ClassRunner.java,runChild,org.junit.runners.BlockJUnit4ClassRunner,SpelEvaluationException,Helpful
Spring,SPR-10210,JUnit4TestReference.java,run,org.eclipse.jdt.internal.junit4.runner.JUnit4TestReference,SpelEvaluationException,Helpful
Spring,SPR-10210,TestExecution.java,run,org.eclipse.jdt.internal.junit.runner.TestExecution,SpelEvaluationException,Helpful
Spring,SPR-10223,CachingTilesContainer.java,getDefinitions,org.apache.tiles.impl.mgmt.CachingTilesContainer,NullPointerException,Helpful
Spring,SPR-10223,CachingTilesContainer.java,getCustomDefinition,org.apache.tiles.impl.mgmt.CachingTilesContainer,NullPointerException,Helpful
Spring,SPR-10223,CachingTilesContainer.java,isValidDefinition,org.apache.tiles.impl.mgmt.CachingTilesContainer,NullPointerException,Helpful
Spring,SPR-10223,DefinitionRenderer.java,isRenderable,org.apache.tiles.renderer.DefinitionRenderer,NullPointerException,Helpful
Spring,SPR-10223,TilesView.java,checkResource,org.springframework.web.servlet.view.tiles3.TilesView,NullPointerException,Helpful
Spring,SPR-10223,UrlBasedViewResolver.java,loadView,org.springframework.web.servlet.view.UrlBasedViewResolver,NullPointerException,Helpful
Spring,SPR-10223,AbstractCachingViewResolver.java,createView,org.springframework.web.servlet.view.AbstractCachingViewResolver,NullPointerException,Helpful
Spring,SPR-10223,UrlBasedViewResolver.java,createView,org.springframework.web.servlet.view.UrlBasedViewResolver,NullPointerException,Helpful
Spring,SPR-10223,AbstractCachingViewResolver.java,resolveViewName,org.springframework.web.servlet.view.AbstractCachingViewResolver,NullPointerException,Helpful
Spring,SPR-10223,DispatcherServlet.java,resolveViewName,org.springframework.web.servlet.DispatcherServlet,NullPointerException,Helpful
Spring,SPR-10223,DispatcherServlet.java,render,org.springframework.web.servlet.DispatcherServlet,NullPointerException,Helpful
Spring,SPR-10223,DispatcherServlet.java,processDispatchResult,org.springframework.web.servlet.DispatcherServlet,NullPointerException,Helpful
Spring,SPR-10223,HttpServlet.java,service,javax.servlet.http.HttpServlet,NullPointerException,Helpful
Spring,SPR-10223,FrameworkServlet.java,service,org.springframework.web.servlet.FrameworkServlet,NullPointerException,Helpful
Spring,SPR-10223,ServletHolder.java,handle,org.eclipse.jetty.servlet.ServletHolder,NullPointerException,Helpful
Spring,SPR-10223,ServletHandler.java,doFilter,org.eclipse.jetty.servlet.ServletHandler$CachedChain,NullPointerException,Helpful
Spring,SPR-10223,FilterChainProxy.java,doFilter,org.springframework.security.web.FilterChainProxy$VirtualFilterChain,NullPointerException,Helpful
Spring,SPR-10223,FilterSecurityInterceptor.java,invoke,org.springframework.security.web.access.intercept.FilterSecurityInterceptor,NullPointerException,Helpful
Spring,SPR-10223,FilterSecurityInterceptor.java,doFilter,org.springframework.security.web.access.intercept.FilterSecurityInterceptor,NullPointerException,Helpful
Spring,SPR-10223,ExceptionTranslationFilter.java,doFilter,org.springframework.security.web.access.ExceptionTranslationFilter,NullPointerException,Helpful
Spring,SPR-10223,SessionManagementFilter.java,doFilter,org.springframework.security.web.session.SessionManagementFilter,NullPointerException,Helpful
Spring,SPR-10223,AnonymousAuthenticationFilter.java,doFilter,org.springframework.security.web.authentication.AnonymousAuthenticationFilter,NullPointerException,Helpful
Spring,SPR-10223,SecurityContextHolderAwareRequestFilter.java,doFilter,org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter,NullPointerException,Helpful
Spring,SPR-10223,RequestCacheAwareFilter.java,doFilter,org.springframework.security.web.savedrequest.RequestCacheAwareFilter,NullPointerException,Helpful
Spring,SPR-10223,AbstractAuthenticationProcessingFilter.java,doFilter,org.springframework.security.web.authentication.AbstractAuthenticationProcessingFilter,NullPointerException,Helpful
Spring,SPR-10223,LogoutFilter.java,doFilter,org.springframework.security.web.authentication.logout.LogoutFilter,NullPointerException,Helpful
Spring,SPR-10223,ConcurrentSessionFilter.java,doFilter,org.springframework.security.web.session.ConcurrentSessionFilter,NullPointerException,Helpful
Spring,SPR-10223,SecurityContextPersistenceFilter.java,doFilter,org.springframework.security.web.context.SecurityContextPersistenceFilter,NullPointerException,Helpful
Spring,SPR-10223,FilterChainProxy.java,doFilterInternal,org.springframework.security.web.FilterChainProxy,NullPointerException,Helpful
Spring,SPR-10223,DelegatingFilterProxy.java,invokeDelegate,org.springframework.web.filter.DelegatingFilterProxy,NullPointerException,Helpful
Spring,SPR-10223,DelegatingFilterProxy.java,doFilter,org.springframework.web.filter.DelegatingFilterProxy,NullPointerException,Helpful
Spring,SPR-10223,ServletHandler.java,doHandle,org.eclipse.jetty.servlet.ServletHandler,NullPointerException,Helpful
Spring,SPR-10223,ScopedHandler.java,handle,org.eclipse.jetty.server.handler.ScopedHandler,NullPointerException,Helpful
